Type,Bed,Bath,Size,BER,Asking Price,Not Full Market Price,VAT Exclusive,latitude,longitude,ifsc_drive_distance_km,ifsc_walk_distance_km,ifsc_bike_distance_km,ifsc_transit_distance_km,Airport_distance_km,nearest_coast_name,coast_distance_km,eircode_area,month_sin,month_cos,day_sin,day_cos,Price_Difference_%
Semi-D,3.0,1.0,95.0,D1,630000.0,No,No,53.2772196,-6.3128952,34.343,10.758,10.739,11.762,26.603,Ringsend,10.985,D16,1.0,6.123233995736766e-17,0.48530196253108104,-0.8743466161445821,0.0
Bungalow,1.0,1.0,44.7,Unknown,350000.0,No,No,53.3207365,-6.3520119,29.224,8.527,8.524,9.36,21.483,Ringsend,9.372,D22,1.0,6.123233995736766e-17,0.48530196253108104,-0.8743466161445821,-14.285714285714285
Semi-D,3.0,1.0,125.0,E1,695000.0,No,No,53.229246,-6.1201798,17.548,17.626,17.684,21.144,45.247,Killiney Beach,3.613,D18,1.0,6.123233995736766e-17,0.48530196253108104,-0.8743466161445821,0.7194244604316548
Semi-D,2.0,1.0,56.0,Unknown,425000.0,No,No,53.3420012,-6.2308333,1.91,1.913,2.084,2.082,16.986,Ringsend,0.489,D04,1.0,6.123233995736766e-17,0.48530196253108104,-0.8743466161445821,5.88235294117647
Bungalow,2.0,2.0,74.0,D1,450000.0,No,No,53.3926776,-6.2788141,7.172,6.433,7.04,7.726,7.987,Clontarf Seafront,8.39,D11,1.0,6.123233995736766e-17,0.48530196253108104,-0.8743466161445821,2.2222222222222223
Apartment,2.0,2.0,65.0,Unknown,305000.0,No,No,53.4477644,-6.234350099999999,15.052,12.775,13.152,16.151,6.366,Ringsend,16.052,K67,1.0,6.123233995736766e-17,0.48530196253108104,-0.8743466161445821,1.639344262295082
Apartment,2.0,2.0,70.0,C1,275000.0,No,No,53.3818539,-6.2894163,5.496,5.288,5.524,6.105,9.447,Ringsend,7.495,D11,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,14.181818181818182
Semi-D,4.0,2.0,129.0,E2,725000.0,No,No,53.2928782,-6.2313639,7.615,7.58,7.544,8.86,35.844,Blackrock,5.022,D14,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,0.6896551724137931
Apartment,1.0,1.0,38.0,D1,305000.0,No,No,53.3387922,-6.3046821,6.857,4.752,5.605,5.321,22.206,Ringsend,6.419,D08,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,0.6557377049180327
Terrace,3.0,1.0,62.0,C2,365000.0,No,No,53.3216806,-6.2981941,6.765,5.629,5.829,5.893,25.46,Ringsend,6.051,D12,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,28.21917808219178
Terrace,2.0,1.0,58.0,C3,432000.0,No,No,53.3351183,-6.2719744,5.347,3.147,4.305,3.497,24.904,Ringsend,4.633,D08,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,16.89814814814815
Semi-D,3.0,2.0,91.0,E2,550000.0,No,No,53.3087933,-6.3246632,9.151,8.043,8.763,9.368,24.172,Ringsend,8.436,D12,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,17.272727272727273
Terrace,2.0,1.0,61.5,G,270000.0,No,No,53.33824449999999,-6.3474426,9.588,7.334,7.572,8.129,19.378,Ringsend,10.038,D10,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,0.0
Terrace,3.0,1.0,101.0,D2,785000.0,No,No,53.3196428,-6.2462212,4.624,4.107,5.239,5.032,19.559,Ringsend,3.723,D06,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,21.987261146496813
Terrace,4.0,2.0,168.0,Unknown,1275000.0,No,No,53.3046426,-6.1867043,8.049,7.215,7.703,9.193,20.67,Blackrock,0.821,A94,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,1.9607843137254901
Detached,5.0,4.0,172.0,E2,975000.0,No,No,53.3813866,-6.0567013,16.285,15.376,16.88,15.954,19.161,Howth Head,8.939,D13,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,4.615384615384616
Semi-D,3.0,1.0,79.0,E2,480000.0,No,No,53.2784116,-6.226054299999999,10.077,9.277,9.227,10.285,34.567,Blackrock,6.427,D16,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,10.0
Semi-D,5.0,3.0,147.0,C3,525000.0,No,No,53.4048945,-6.4153534,26.557,14.569,15.309,14.894,18.817,Ringsend,27.557,D15,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,-0.9523809523809524
Apartment,2.0,2.0,78.0,C1,245000.0,No,No,53.28631490000001,-6.3762681,34.988,12.878,13.897,15.415,27.248,Ringsend,13.384,D24,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,4.081632653061225
Terrace,2.0,1.0,47.0,D1,410000.0,No,No,53.3524454,-6.2861742,4.44,3.206,3.498,3.626,13.319,Ringsend,6.623,D07,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,13.414634146341465
Apartment,1.0,1.0,37.2,Unknown,350000.0,No,No,53.33646040000001,-6.2377443,2.292,2.153,2.298,3.434,17.677,Ringsend,1.179,D04,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,-14.285714285714285
Terrace,4.0,3.0,114.0,Unknown,390000.0,No,No,53.5294652,-6.1609269,24.743,23.068,23.698,25.051,17.856,Ringsend,25.743,K45,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,3.8461538461538463
Terrace,2.0,1.0,65.0,C2,315000.0,No,No,53.3564183,-6.4127059,25.621,12.528,12.651,12.544,17.88,Ringsend,26.621,K78,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,9.523809523809524
Terrace,2.0,1.0,68.0,D2,495000.0,No,No,53.2912739,-6.137658099999999,12.104,11.291,11.938,12.236,24.724,Dún Laoghaire,0.606,A96,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,10.505050505050505
Terrace,3.0,1.0,117.0,D2,700000.0,No,No,53.29432930000001,-6.238172899999999,7.78,7.606,7.665,8.766,35.493,Blackrock,5.59,D14,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,1.4285714285714286
End of Terrace,3.0,1.0,91.0,F,395000.0,No,No,53.3838804,-6.2056121,5.309,5.294,5.32,5.312,8.316,Clontarf Seafront,3.293,D05,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,7.59493670886076
Apartment,1.0,1.0,58.0,Unknown,190000.0,No,No,53.3960235,-6.317642300000001,16.956,8.842,9.106,9.568,6.87,Ringsend,17.955,D11,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,2.631578947368421
Semi-D,3.0,2.0,151.3,E1,635000.0,No,No,53.39128609999999,-6.2745726,6.778,6.345,6.704,8.151,8.373,Clontarf Seafront,7.93,D11,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,0.7874015748031495
End of Terrace,4.0,2.0,95.0,C2,315000.0,No,No,53.28641289999999,-6.3539314,33.455,11.786,11.863,17.47,25.714,Ringsend,11.851,D24,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,21.26984126984127
End of Terrace,3.0,1.0,96.0,Unknown,625000.0,No,No,53.30188219999999,-6.263872399999999,9.137,7.17,7.639,7.838,29.541,Sandymount Strand,7.695,D14,1.0,6.123233995736766e-17,-2.4492935982947064e-16,1.0,8.0
Terrace,3.0,2.0,100.0,D2,675000.0,No,No,53.3725177,-6.198801,4.804,4.784,4.838,5.2,9.926,Clontarf Seafront,2.006,D05,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,7.4074074074074066
Townhouse,2.0,2.0,68.0,C1,395000.0,No,No,53.2852375,-6.2376342,9.088,8.66,8.623,8.951,33.523,Blackrock,5.805,D16,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,28.10126582278481
Apartment,2.0,1.0,60.0,C1,250000.0,No,No,53.60532869999999,-6.1851369,32.513,31.207,32.03,36.389,25.626,Ringsend,33.513,K32,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,4.8
Semi-D,3.0,3.0,171.0,C2,875000.0,No,No,53.2838035,-6.250727599999999,9.934,9.022,10.097,10.046,33.623,Blackrock,7.027,D16,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,11.657142857142858
Semi-D,3.0,3.0,95.0,D1,725000.0,No,No,53.30626179999999,-6.2400952,6.209,6.268,6.232,7.753,20.665,Sandymount Strand,4.626,D14,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,14.482758620689657
Terrace,3.0,1.0,102.0,D2,495000.0,No,No,53.3787191,-6.209939899999999,4.689,4.698,4.708,4.702,9.086,Clontarf Seafront,3.939,D05,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,14.14141414141414
Apartment,2.0,2.0,69.0,Unknown,335000.0,No,No,53.2699744,-6.2364579,13.254,10.926,11.058,11.234,35.808,Blackrock,9.033,D18,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,-2.9850746268656714
Semi-D,4.0,2.0,117.0,D2,590000.0,No,No,53.27910079999999,-6.2935658,10.77,9.864,11.024,11.274,28.118,Ringsend,10.056,D16,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,10.338983050847457
Apartment,1.0,1.0,52.0,Unknown,285000.0,No,No,53.4197427,-6.147406999999999,16.564,11.599,14.943,12.002,11.575,Howth Head,8.002,D13,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,2.1052631578947367
Apartment,2.0,2.0,74.2,C1,445000.0,No,No,53.2802981,-6.185756899999999,10.477,10.148,10.566,12.648,36.198,Blackrock,3.872,A94,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,6.741573033707865
Detached,5.0,1.0,173.0,E2,1100000.0,No,No,53.3785467,-6.2632069,4.833,4.346,4.605,5.713,8.199,Clontarf Seafront,5.636,D09,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,-5.0
Terrace,3.0,1.0,91.0,F,475000.0,No,No,53.33936500000001,-6.3263205,7.69,5.905,6.184,6.054,21.636,Ringsend,7.873,D08,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,8.0
Terrace,3.0,1.0,107.0,C3,550000.0,No,No,53.3355708,-6.278860799999999,5.035,3.336,3.577,3.58,14.284,Ringsend,5.244,D08,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,19.546
Terrace,2.0,1.0,75.0,Unknown,500000.0,No,No,53.29077830000001,-6.1742628,10.384,9.336,9.826,11.088,37.461,Blackrock,1.919,A94,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,5.6000000000000005
Terrace,3.0,2.0,131.0,E2,975000.0,No,No,53.3160095,-6.267639399999999,5.938,4.901,5.395,5.161,29.561,Ringsend,5.224,D06,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,2.564102564102564
Terrace,3.0,3.0,110.0,B3,480000.0,No,No,53.4251486,-6.1731975,14.699,10.881,10.83,12.054,8.899,Clontarf Seafront,8.779,K36,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,6.145833333333333
Terrace,3.0,2.0,103.0,D2,475000.0,No,No,53.3685868,-6.2555659,3.129,2.893,2.901,3.703,8.231,Clontarf Seafront,4.512,D09,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,-5.263157894736842
Townhouse,5.0,5.0,397.0,Unknown,4500000.0,No,Yes,53.3221352,-6.2249984,4.308,4.236,4.738,5.469,18.26,Sandymount Strand,1.969,D04,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,-11.89428888888889
Apartment,1.0,1.0,45.0,D1,295000.0,No,No,53.3738576,-6.268249399999999,4.117,3.999,3.999,5.069,9.018,Clontarf Seafront,5.893,D09,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,10.16949152542373
Terrace,4.0,3.0,136.0,B3,545000.0,No,No,53.2480359,-6.1779231,14.447,14.474,15.174,18.602,37.44,Killiney Beach,6.628,D18,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,6.422018348623854
End of Terrace,2.0,2.0,79.7,B3,800000.0,No,No,53.32288819999999,-6.2666188,4.852,3.975,4.309,4.238,30.264,Ringsend,4.137,D06,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,4.375
Apartment,2.0,1.0,69.0,C3,250000.0,No,No,53.3986499,-6.226524299999999,7.772,7.602,7.806,11.173,5.894,Clontarf Seafront,6.161,D17,1.0,6.123233995736766e-17,0.29936312297335804,-0.9541392564000488,9.2
Apartment,1.0,1.0,43.0,C2,230000.0,No,No,53.4047906,-6.179043000000001,12.896,8.484,8.832,9.06,9.803,Clontarf Seafront,6.487,D17,1.0,6.123233995736766e-17,0.10116832198743272,-0.994869323391895,4.782608695652174
End of Terrace,3.0,2.0,101.0,C2,440000.0,No,No,53.3918651,-6.1394575,16.118,10.147,11.016,9.905,13.025,Howth Head,6.541,D13,1.0,6.123233995736766e-17,-0.2993631229733582,-0.9541392564000488,4.545454545454546
Semi-D,4.0,3.0,166.0,C2,795000.0,No,No,53.3911704,-6.1325995,11.078,10.084,11.16,9.992,14.675,Howth Head,5.207,D13,1.0,6.123233995736766e-17,-0.2993631229733582,-0.9541392564000488,14.465408805031446
Detached,5.0,3.0,204.0,B3,1275000.0,No,No,53.375961,-6.360726,9.862,9.068,9.029,9.659,13.604,Ringsend,22.344,D15,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,1.5686274509803921
Semi-D,4.0,1.0,133.5,G,675000.0,No,No,53.3888222,-6.1332473,10.468,9.78,11.023,10.079,14.627,Bull Island,4.795,D13,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,0.7407407407407408
Semi-D,3.0,2.0,90.3,E2,475000.0,No,No,53.5738216,-6.1181351,31.739,29.757,30.411,29.558,24.852,Ringsend,32.739,K34,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,2.1052631578947367
Bungalow,3.0,2.0,100.0,C3,360000.0,No,No,53.3425613,-6.4208814,27.564,13.245,13.684,15.57,19.823,Ringsend,28.563,K78,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,15.555555555555555
Semi-D,3.0,2.0,100.0,E2,395000.0,No,No,53.3493735,-6.454749899999999,28.313,16.053,15.31,15.375,20.573,Ringsend,29.313,K78,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,9.113924050632912
Apartment,1.0,1.0,44.0,C3,275000.0,No,No,53.3153729,-6.2964636,7.139,6.037,6.225,7.542,28.319,Ringsend,6.425,D12,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,16.727272727272727
Terrace,3.0,1.0,92.0,F,535000.0,No,No,53.2854772,-6.1563365,11.373,10.406,11.026,12.063,23.993,Monkstown,1.423,A96,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,6.5420560747663545
Semi-D,5.0,3.0,172.0,C1,845000.0,No,No,53.274903,-6.2000074,10.234,10.302,10.362,11.659,34.642,Blackrock,4.841,A94,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,0.0
End of Terrace,2.0,1.0,79.2,E2,325000.0,No,No,53.3340683,-6.3114653,7.201,5.395,6.008,6.177,24.79,Ringsend,6.487,D12,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,18.76923076923077
Apartment,2.0,1.0,60.0,B3,410000.0,No,No,53.3469345,-6.2566264,1.51,0.928,1.153,1.159,16.592,Ringsend,2.727,D02,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,0.24390243902439024
Semi-D,3.0,1.0,93.0,C2,360000.0,No,No,53.6163989,-6.2080582,34.875,33.319,33.848,38.334,27.987,Ringsend,35.874,K32,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,-1.3888888888888888
End of Terrace,3.0,1.0,93.6,E1,475000.0,No,No,53.3614133,-6.3082062,5.526,5.054,5.406,5.119,16.977,Ringsend,7.428,D07,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,12.631578947368421
Semi-D,3.0,3.0,94.0,B3,380000.0,No,No,53.337033,-6.450601499999999,29.787,15.056,15.624,18.002,22.046,Ringsend,30.786,K78,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,14.473684210526317
Apartment,2.0,1.0,56.0,Unknown,240000.0,No,No,53.2985865,-6.419226999999999,32.418,15.062,17.645,17.476,24.677,Blackrock,24.622,D22,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,-2.083333333333333
Apartment,2.0,1.0,61.0,D2,315000.0,No,No,53.3608744,-6.2577658,1.99,2.001,2.001,3.337,9.799,Ringsend,4.033,D01,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,9.523809523809524
Terrace,3.0,2.0,97.0,D1,425000.0,No,No,53.3991134,-6.2397372,11.782,6.797,6.661,11.939,4.828,Clontarf Seafront,7.133,D09,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,8.235294117647058
Terrace,2.0,1.0,76.0,E1,375000.0,No,No,53.3347055,-6.316744799999999,7.556,5.551,6.467,6.295,24.945,Ringsend,6.842,D12,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,2.0
Apartment,1.0,1.0,46.0,C3,260000.0,No,No,53.35767939999999,-6.2732632,3.601,2.46,3.407,3.217,11.418,Ringsend,5.503,D07,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,30.76923076923077
Apartment,2.0,2.0,75.7,C1,350000.0,No,No,53.27026420000001,-6.237565999999999,13.265,11.039,11.17,11.346,35.819,Blackrock,9.044,D18,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,5.142857142857142
Bungalow,3.0,1.0,100.0,F,525000.0,No,No,53.2781371,-6.1402585,13.157,12.122,13.112,14.899,44.414,Dún Laoghaire,2.324,A96,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,1.9047619047619049
Apartment,2.0,2.0,75.0,B2,695000.0,No,No,53.344411,-6.2378515,1.183,1.182,1.188,1.253,15.627,Ringsend,1.477,D02,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,0.0
End of Terrace,3.0,2.0,91.0,E1,550000.0,No,No,53.3922341,-6.1208921,11.614,10.927,11.696,11.568,14.086,Howth Head,4.417,D13,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,-3.6363636363636362
Semi-D,5.0,3.0,220.0,E2,1750000.0,No,No,53.3194324,-6.211615999999999,6.003,4.837,5.135,5.772,18.623,Sandymount Strand,1.425,D04,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,6.2857142857142865
Detached,4.0,3.0,151.0,D1,990000.0,No,No,53.4491811,-6.1424429,20.917,15.373,15.485,16.167,13.353,Howth Head,12.67,K36,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,8.080808080808081
Detached,3.0,3.0,158.0,C1,470000.0,No,No,53.3963171,-6.180738799999999,7.992,7.607,7.597,8.228,11.231,Bull Island,5.765,D13,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,20.0
Terrace,2.0,2.0,79.0,C3,325000.0,No,No,53.402288,-6.2069508,11.899,7.907,8.17,9.855,8.807,Clontarf Seafront,6.079,D17,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,-2.307692307692308
Apartment,2.0,1.0,53.0,C3,399000.0,No,No,53.4520292,-6.1525628,19.56,14.631,15.014,15.425,11.997,Howth Head,13.032,K36,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,6.516290726817042
Duplex,3.0,3.0,108.0,B2,345000.0,No,No,53.353206,-6.4175961,25.806,12.751,12.875,14.009,18.065,Ringsend,26.806,K78,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,15.942028985507244
Terrace,3.0,1.0,114.0,E2,795000.0,No,No,53.3301914,-6.2698322,4.859,3.404,3.738,3.758,25.001,Ringsend,4.145,D08,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,7.547169811320755
Apartment,2.0,2.0,77.0,B2,300000.0,No,No,53.35433370000001,-6.4070195,25.0,11.906,12.029,12.086,17.259,Ringsend,25.999,K78,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,17.0
Terrace,3.0,2.0,140.0,E1,1050000.0,No,No,53.3358873,-6.2301123,2.62,2.615,2.935,3.819,16.823,Ringsend,1.087,D04,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,12.380952380952381
Terrace,3.0,3.0,134.5,A3,525000.0,No,No,53.4064238,-6.1699397,13.707,8.983,9.203,9.763,10.614,Clontarf Seafront,6.972,D13,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,0.0
Apartment,3.0,2.0,152.0,B3,525000.0,No,No,53.3654974,-6.2603513,2.713,2.612,2.595,3.405,8.961,Ringsend,4.711,D09,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,25.71428571428571
Semi-D,4.0,1.0,147.5,E2,750000.0,No,No,53.295236,-6.3001573,9.276,8.332,9.093,9.607,26.703,Ringsend,8.562,D14,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,8.0
Apartment,3.0,2.0,102.2,B3,389000.0,No,No,53.3549933,-6.4083595,25.158,12.065,12.188,12.194,17.418,Ringsend,26.158,K78,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,13.624678663239074
Apartment,2.0,2.0,69.0,D1,350000.0,No,No,53.2521503,-6.1245314,15.536,14.658,15.548,18.926,41.174,Killiney Beach,0.945,A96,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,5.142857142857142
Terrace,2.0,1.0,89.0,D1,450000.0,No,No,53.3735696,-6.2141062,4.354,4.393,4.389,4.448,8.833,Clontarf Seafront,3.401,D05,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,0.0
Terrace,3.0,1.0,77.0,Unknown,310000.0,No,No,53.3464554,-6.4410097,28.888,14.963,16.776,18.202,21.148,Ringsend,29.888,K78,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,17.741935483870968
Apartment,2.0,2.0,68.0,B3,385000.0,No,No,53.3372174,-6.286868,5.545,3.546,3.546,3.715,23.785,Ringsend,5.328,D08,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,6.103896103896104
Apartment,1.0,1.0,36.1,E1,350000.0,No,No,53.3288285,-6.2508046,3.608,3.003,3.28,3.709,19.342,Ringsend,2.894,D06,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,6.714285714285714
Semi-D,7.0,5.0,483.0,Unknown,1950000.0,No,No,53.2971562,-6.1657017,9.933,9.073,9.627,9.731,22.553,Monkstown,1.172,A94,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,-2.564102564102564
Apartment,2.0,2.0,88.0,B2,475000.0,No,No,53.3758606,-6.332555999999999,7.373,7.124,7.305,8.296,15.158,Clontarf Seafront,10.871,D15,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,1.0526315789473684
Terrace,3.0,2.0,143.0,Unknown,850000.0,No,No,53.3227567,-6.2583616,4.732,3.903,4.473,4.506,19.809,Ringsend,4.018,D06,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,6.0
Semi-D,3.0,2.0,94.0,Unknown,425000.0,No,No,53.3890688,-6.260777999999999,6.316,5.921,6.268,6.914,6.459,Clontarf Seafront,7.005,D09,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,21.176470588235293
Bungalow,3.0,1.0,76.0,Unknown,275000.0,No,No,53.2818319,-6.406349899999999,35.393,15.277,16.185,17.1,27.653,Ringsend,15.767,D24,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,1.8181818181818181
Apartment,2.0,1.0,58.0,C3,345000.0,No,No,53.3429929,-6.2969051,5.738,3.793,3.856,4.212,22.552,Ringsend,5.985,D08,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,13.043478260869565
End of Terrace,3.0,2.0,103.1,E1,485000.0,No,No,53.376531,-6.283753,5.602,4.82,5.057,6.05,9.361,Clontarf Seafront,7.404,D11,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,9.278350515463918
Terrace,3.0,1.0,86.0,Unknown,425000.0,No,No,53.2807571,-6.2875956,11.129,9.494,11.288,10.327,28.477,Blackrock,10.121,D16,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,7.0588235294117645
Semi-D,3.0,2.0,107.0,C3,595000.0,No,No,53.2660765,-6.202270899999999,12.99,12.891,12.605,14.514,35.438,Blackrock,7.596,D18,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,2.5210084033613445
Apartment,2.0,2.0,76.0,C2,385000.0,No,No,53.2591883,-6.220708699999999,12.952,12.056,12.522,14.42,35.506,Blackrock,8.731,D18,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,13.246753246753245
Terrace,4.0,1.0,93.0,Unknown,380000.0,No,No,53.3175971,-6.33724,10.192,7.984,8.461,9.569,22.997,Ringsend,9.478,D12,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,5.263157894736842
Bungalow,3.0,1.0,96.0,C2,495000.0,No,No,53.3933292,-6.1920209,7.877,6.646,6.735,6.899,10.951,Clontarf Seafront,5.86,D17,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,-8.484848484848486
Semi-D,3.0,3.0,107.3,B3,450000.0,No,No,53.4058959,-6.4165525,26.624,14.801,15.54,15.126,18.884,Ringsend,27.624,D15,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,-1.1111111111111112
Apartment,1.0,1.0,40.0,C1,295000.0,No,No,53.3497687,-6.230764,1.43,1.25,1.255,1.601,14.025,Ringsend,3.105,D01,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,-1.0169491525423728
Terrace,1.0,1.0,35.0,Unknown,300000.0,No,No,53.3406363,-6.280568799999999,5.171,3.077,3.251,3.306,14.001,Ringsend,4.694,D08,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,5.0
Semi-D,3.0,1.0,82.0,D1,270000.0,No,No,53.2876146,-6.384784600000001,32.856,13.543,14.544,15.584,25.115,Ringsend,14.163,D24,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,17.77777777777778
Terrace,4.0,3.0,124.0,C1,695000.0,No,No,53.3716252,-6.250848899999999,4.486,4.413,5.097,5.134,8.335,Clontarf Seafront,5.046,D09,1.0,6.123233995736766e-17,-0.651372482722222,-0.7587581226927911,1.4388489208633095
Apartment,2.0,2.0,73.0,C3,269500.0,No,No,53.6022091,-6.176937499999999,32.919,31.545,32.436,35.34,26.032,Ringsend,33.919,K32,1.0,6.123233995736766e-17,-0.7907757369376986,-0.6121059825476627,3.896103896103896
End of Terrace,3.0,2.0,98.0,A3,785000.0,No,No,53.3392086,-6.2334722,2.188,2.039,2.053,3.355,17.264,Ringsend,0.767,D04,1.0,6.123233995736766e-17,-0.7907757369376986,-0.6121059825476627,-1.910828025477707
Semi-D,3.0,2.0,127.0,E2,730000.0,No,No,53.2832243,-6.2334467,9.467,9.038,9.393,9.33,33.902,Blackrock,6.184,D16,1.0,6.123233995736766e-17,-0.7907757369376986,-0.6121059825476627,5.616438356164384
