Type,Bed,Bath,Size,BER,Asking Price,Not Full Market Price,VAT Exclusive,latitude,longitude,ifsc_drive_distance_km,ifsc_walk_distance_km,ifsc_bike_distance_km,ifsc_transit_distance_km,Airport_distance_km,nearest_coast_name,coast_distance_km,eircode_area,month_sin,month_cos,day_sin,day_cos,Price_Difference_%
Apartment,2.0,2.0,64.0,Unknown,295000.0,No,No,53.406384,-6.2486716,13.14,7.585,8.885,8.794,4.643,Clontarf Seafront,8.491,D09,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,14.915254237288137
Apartment,1.0,1.0,37.2,C3,260000.0,No,No,53.342681,-6.3120607,7.302,4.881,5.247,5.275,21.248,Ringsend,8.136,D08,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,20.384615384615383
Apartment,2.0,2.0,71.0,B2,375000.0,No,No,53.3566258,-6.233662499999999,2.259,1.948,2.242,2.256,14.229,Clontarf Seafront,3.176,D03,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,9.333333333333334
Semi-D,3.0,2.0,109.0,E1,699000.0,No,No,53.2872444,-6.2585527,9.095,8.417,9.493,9.39,34.542,Blackrock,7.559,D14,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,6.437768240343347
Semi-D,4.0,3.0,201.0,E1,1550000.0,No,No,53.3271103,-6.2244411,3.534,3.537,4.039,4.878,17.55,Sandymount Strand,1.368,D04,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,12.903225806451612
Semi-D,3.0,1.0,95.0,C2,480000.0,No,No,53.38861499999999,-6.188215,6.891,6.892,6.893,6.9,8.762,Clontarf Seafront,4.17,D05,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,10.416666666666668
Apartment,2.0,2.0,61.0,C2,260000.0,No,No,53.3532139,-6.416486799999999,25.656,12.535,12.677,14.095,17.915,Ringsend,26.656,K78,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,20.76923076923077
Terrace,3.0,2.0,85.8,D1,425000.0,No,No,53.38671189999999,-6.2448477,5.484,5.116,5.148,6.089,5.891,Clontarf Seafront,6.2,D09,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,6.352941176470588
Apartment,2.0,2.0,72.0,Unknown,425000.0,No,No,53.3493542,-6.2387011,1.245,0.665,1.106,0.973,15.245,Ringsend,3.704,D01,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,-3.5294117647058822
Semi-D,5.0,4.0,166.0,C2,750000.0,No,No,53.2605911,-6.2099251,12.686,12.308,12.33,13.882,35.134,Blackrock,7.292,D18,0.49999999999999994,0.8660254037844387,0.9884683243281114,0.1514277775045767,0.0
