Address,Type,Bed,Bath,Size,BER,Built,Sold Date,Asking Price,Sold Price
"2 Glasilawn Ave, Glasnevin, Dublin 11, Dublin 11, Dublin",Terrace,3,2,132.0 m²,B3,—,25/02/2025,"€595,000","€715,000"
"367 Crumlin Rd, Crumlin, Dublin 12, Dublin 12, Dublin",Bungalow,3,1,78.0 m²,E1,—,25/02/2025,"€425,000","€446,000"
"191 The George, Charlotte Quay Dock, Ringsend, Dublin",Apartment,2,1,55.0 m²,C3,—,25/02/2025,"€395,000","€421,000"
"54 Cedar Brook Way, Cherry Orchard, Dublin 10, Dublin 10, Dublin",Duplex,2,1,86.0 m²,C3,—,25/02/2025,"€259,000","€303,000"
"8 Dalriada Green, Knocklyon, Dublin 16, Dublin",Terrace,3,4,123.0 m²,A3,—,25/02/2025,"€560,000","€685,000"
"28 Castle Heath, Swords Rd, Malahide, Dublin",Duplex,4,3,122.0 m²,B2,—,25/02/2025,"€535,000","€555,000"
"82 Whiteoak, Clonskeagh, Dublin 14, Dublin 14, Dublin",Townhouse,3,1,86.0 m²,C3,—,25/02/2025,"€485,000","€552,000"
"6 Crannagh Grove, Rathfarnham, Dublin 14, Dublin 14, Dublin",Semi-D,4,2,145.0 m²,E1,—,25/02/2025,"€950,000","€1,035,000"
"56 Foxborough Downes Lucan, Dublin, Dublin",Semi-D,3,3,112.0 m²,—,—,25/02/2025,"€395,000","€455,000"
"174 Ceannt Fort, Mount Brown, Dublin 8, Dublin 8, Dublin",Terrace,2,1,68.0 m²,C3,—,25/02/2025,"€460,000","€460,000"
"8 Innisfallen Parade, Dublin 7, Dublin, Dublin 7, Dublin",Terrace,2,1,49.0 m²,E2,—,25/02/2025,"€395,000","€423,000"
"58 Hunters Lane, Hunters Wood, Ballycullen Dublin 24, Dublin 24, Dublin",Semi-D,4,3,127.0 m²,C1,—,26/02/2025,"€545,000","€535,000"
"12 Hibernian, The Gas Works, Barrow St Dublin 4, Dublin 4, Dublin",Apartment,1,1,53.0 m²,C1,—,26/02/2025,"€375,000","€441,500"
"Apt 20, Hogan View Apts, Richmond Rd Dublin 3, Dublin 3, Dublin",Apartment,2,1,53.0 m²,B3,—,26/02/2025,"€325,000","€362,000"
"28 Innisfallen Parade, Circular Rd North, Dublin 7, Dublin 7, Dublin",Terrace,2,1,60.0 m²,—,—,26/02/2025,"€325,000","€325,000"
"129 Southmede, Ballinteer Rd, Dundrum, Dublin 16, Dublin",Apartment,2,1,65.0 m²,C1,—,26/02/2025,"€395,000","€432,000"
"83 Kilmainham Bank, Emmet Rd, Inchicore, Dublin 8, Dublin",Apartment,1,1,47.0 m²,—,—,26/02/2025,"€235,000","€255,000*"
"Burrow Rd, Portrane, Donabate, Dublin",Detached,5,3,154.0 m²,E1,—,26/02/2025,"€685,000","€250,000*"
"110 Parklands, Santry, Dublin 9, Dublin 9, Dublin",Apartment,2,2,65.0 m²,—,—,26/02/2025,"€289,950","€310,000"
"Rosario, Dublin Road, Swords, Dublin",Bungalow,3,1,105.2 m²,—,—,26/02/2025,"€450,000","€640,000"
"44 Derrydrive, Crumin, Dublin 12, Dublin",Terrace,2,1,60.0 m²,—,—,26/02/2025,"€365,000","€425,000"
"48 Captains Ave, Dublin 12, Dublin, Dublin 12, Dublin",Terrace,2,1,69.0 m²,D2,—,26/02/2025,"€340,000","€375,000"
"7 Clifflands Court, Skerries Rd, Rush, Dublin",Detached,4,3,182.0 m²,B3,—,26/02/2025,"€645,000","€666,000"
"9 Abbeyvale Rise, Swords, Dublin, Dublin",Semi-D,3,3,104.6 m²,C1,—,26/02/2025,"€440,000","€452,000"
"91 Adelaide Sq, Whitefriar St, Dublin 8, Dublin 8, Dublin",Apartment,1,1,49.0 m²,D2,—,26/02/2025,"€350,000","€340,000"
"20 The Lawn, Church Rd, Finglas East Dublin 11, Dublin 11, Dublin",Semi-D,3,2,154.0 m²,—,—,26/02/2025,"€395,000","€475,000"
"12 Beverly Lawns, Knocklyon, Dublin 16, Dublin 16, Dublin",Semi-D,3,1,86.0 m²,C3,—,26/02/2025,"€595,000","€620,000"
"55 Avondale Rd, Killiney, Dublin, Dublin",Detached,4,3,155.0 m²,D1,—,26/02/2025,"€840,000","€900,000"
"76 Drumfinn Rd, Ballyfermot, Dublin 10, Dublin 10, Dublin",Terrace,3,1,85.0 m²,—,—,26/02/2025,"€299,000","€365,000"
"44 Park Lands Block 3 Northwood, Santry Dublin 9, Dublin, Dublin 9, Dublin",Apartment,2,2,65.0 m²,—,—,26/02/2025,"€336,000","€349,000"
"9 Hillsborough, Laraghcon, Lucan, Dublin",Apartment,2,2,68.0 m²,C1,—,26/02/2025,"€300,000","€320,000"
"1 Deerpark Road, Castleknock, Dublin 15, Dublin 15, Dublin",Detached,5,3,228.0 m²,G,—,26/02/2025,"€1,500,000","€1,810,000"
"Apartment 10, El - Pinar, Kilgobbin Road, Dublin",Apartment,2,2,72.0 m²,B1,—,26/02/2025,"€400,000","€480,000"
"3 Mill Pond, Mill Lane, Clondalkin Dublin 22, Dublin 22, Dublin",Apartment,2,1,70.0 m²,C1,—,26/02/2025,"€245,000","€265,000"
"146 Bushy Park House, Terenure, Dublin 6w, Dublin",Apartment,2,2,87.1 m²,B3,—,26/02/2025,"€525,000","€625,000"
"56 La Touche Rd, Bluebell, Dublin 12, Dublin 12, Dublin",Terrace,2,1,72.0 m²,—,—,26/02/2025,"€290,000","€370,000"
"16 Charleston Court, Charleston Rd, Ranelagh Dublin 6, Dublin 6, Dublin",Semi-D,2,1,50.0 m²,D2,—,26/02/2025,"€480,000","€510,000"
"60 New Bancroft Hall, Greenhills Rd Extension, Tallaght Dublin 24, Dublin 24, Dublin",Apartment,2,—,75.5 m²,B3,—,26/02/2025,"€250,000","€336,000"
"38 Marshan Court, Stillorgan, Dublin, Dublin",Semi-D,3,1,83.8 m²,D2,—,26/02/2025,"€595,000","€678,000"
"25 St James, Hollybrook Park, Clontarf Dublin 3, Dublin 3, Dublin",Semi-D,4,3,201.0 m²,C2,—,26/02/2025,"€995,000","€1,058,000"
"59 Bremore Pastures Crescent, Hamlet Lane, Balbriggan, Dublin",Duplex,3,2,98.0 m²,B2,—,26/02/2025,"€280,000","€282,000"
"10 Selskar Rd, Skerries, Dublin, Dublin",Semi-D,4,3,137.0 m²,—,—,26/02/2025,"€695,000","€680,000"
"12 The Drive, St. Marnock's Bay, Station Road, Dublin",Semi-D,3,3,108.0 m²,A3,—,26/02/2025,"€650,000","€665,000"
"2 St Patricks Ave, Clondalkin, Dublin 22, Dublin 22, Dublin",Semi-D,3,2,140.0 m²,D2,—,26/02/2025,"€435,000","€463,000"
"25 Bayside Boulevard North, Sutton, Dublin 13, Dublin 13, Dublin",End of Terrace,2,1,67.0 m²,—,—,26/02/2025,"€480,000","€430,000"
"57 Ailesbury Grove, Dundrum, Dublin 16, Dublin 16, Dublin",Semi-D,3,1,85.0 m²,—,—,26/02/2025,"€625,000","€670,000"
"165 Moyville, Rathfarnham, Dublin 16, Dublin 16, Dublin",Semi-D,4,2,110.5 m²,C1,—,26/02/2025,"€595,000","€662,000"
"8 Seabury Walk, Malahide, Dublin, Dublin",Semi-D,3,2,92.0 m²,C1,—,27/02/2025,"€595,000","€610,000"
"22 Ashton Park, Monkstown, Co Dublin, Dublin",Semi-D,4,3,186.0 m²,A3,—,27/02/2025,"€1,350,000","€1,620,000"
"8 Kilakee Close, Greenpark, Walkinstown Dublin 12, Dublin 12, Dublin",Terrace,3,1,90.0 m²,—,—,27/02/2025,"€395,000","€515,000"
"59 Premier Square, Finglas, Dublin 11, Dublin 11, Dublin",Apartment,2,2,68.0 m²,C2,—,27/02/2025,"€250,000","€285,000"
"28 Rothe Abbey, South Circular Road, Kilmainham, Dublin 8, Dublin",End of Terrace,3,1,82.0 m²,C3,—,27/02/2025,"€485,000","€530,000"
"12 Grange Park Walk, Raheny, Dublin 5, Dublin 5, Dublin",Semi-D,3,1,101.0 m²,E2,—,27/02/2025,"€475,000","€535,000"
"9 Cecil Ave, Clontarf, Dublin 3, Dublin 3, Dublin",Terrace,3,1,87.0 m²,—,—,27/02/2025,"€510,000","€508,000"
"Apt 31, Village Court, Rathfarnham Dublin 14, Dublin 14, Dublin",Apartment,2,1,60.0 m²,—,—,27/02/2025,"€350,000","€395,000"
"34 Hazelbury Green, Clonee, Dublin 15, Dublin 15, Dublin",Semi-D,4,3,128.0 m²,C1,—,27/02/2025,"€475,000","€534,000"
"346 Nutgrove Ave, Churchtown, Dublin 14, Dublin 14, Dublin",Terrace,3,2,115.0 m²,C2,—,27/02/2025,"€665,000","€765,000"
"18 Moyne Rd, Ranelagh, Dublin 6, Dublin 6, Dublin",Terrace,3,2,137.0 m²,—,—,27/02/2025,"€1,300,000","€1,517,441"
"28 Millwood Villas, Raheny, Dublin 5, Dublin",Terrace,3,1,74.1 m²,E1,—,27/02/2025,"€350,000","€350,000"
"94 The Birches, Boroimhe, Swords, Dublin",Terrace,2,1,71.0 m²,C3,—,27/02/2025,"€375,000","€395,000"
"68 Orwell Gardens, Rathgar, Dublin 14, Dublin 14, Dublin",Terrace,3,2,94.0 m²,—,—,27/02/2025,"€595,000","€640,000"
"10 Tassagard Drive, Citywest, Saggart, Dublin",Detached,4,6,567.7 m²,—,—,27/02/2025,"€1,595,000","€1,412,500"
"17 Drumnigh Wood, Drumnigh Rd, Portmarnock, Dublin 13, Dublin",Detached,5,4,256.0 m²,B3,—,27/02/2025,"€1,300,000","€1,260,000"
"33 Dalkey Park, Dalkey, Dublin, Dublin",Semi-D,5,2,124.0 m²,D2,—,27/02/2025,"€895,000","€875,000"
"1 Abbeyfield Lawns, Abbeyfield, Killester Dublin 5, Dublin 5, Dublin",Detached,2,2,105.0 m²,C2,—,27/02/2025,"€475,000","€500,000"
"15 Churchview Rd, Killiney, Dublin, Dublin",Detached,4,3,129.0 m²,E2,—,27/02/2025,"€695,000","€697,000"
"34 Diswellstown Drive, Castleknock, Dublin 15, Dublin 12, Dublin",Semi-D,3,—,112.0 m²,A3,—,27/02/2025,"€645,000","€681,000"
"16 The Avenue, Station Manor, Portmarnock, Dublin",Terrace,4,4,140.0 m²,A2,—,27/02/2025,"€730,000","€730,000"
"Tigin Churrain, Pump Lane, Balbriggan, Dublin",Detached,3,3,158.0 m²,—,—,27/02/2025,"€385,000","€451,000"
"28 Hillcourt Apts, Highfield Rd, Rathgar Dublin 6, Dublin 6, Dublin",Apartment,1,1,41.0 m²,E2,—,27/02/2025,"€305,000","€310,000"
"26 Monastery Gate Lawns, Clondalkin, Dublin 22, Dublin 22, Dublin",Semi-D,3,3,90.0 m²,C1,—,27/02/2025,"€350,000","€370,000"
"72 The Oaks, Rockfield, Dundrum, Dublin 16, Dublin",Apartment,1,1,65.0 m²,B3,—,27/02/2025,"€345,000","€350,000"
"24 St Brendans Park, Coolock, Dublin 5, Dublin 5, Dublin",Semi-D,3,1,100.0 m²,E1,—,27/02/2025,"€425,000","€495,000"
"16 Killary Grove, Donaghmede, Dublin 13, Dublin 13, Dublin",Detached,3,2,107.0 m²,E1,—,27/02/2025,"€475,000","€470,000"
"Hillview, Main Street, Blanchardstown, Dublin 15, Dublin",Bungalow,2,1,65.0 m²,C3,—,27/02/2025,"€360,000","€350,000"
"28 Hazelwood Crescent, Hartstown Dublin 15, Dublin",Semi-D,3,1,95.0 m²,C3,—,27/02/2025,"€375,000","€390,000"
"50 Ailesbury Grove, Dundrum, Dublin 16, Dublin 16, Dublin",Detached,4,3,150.0 m²,C2,—,27/02/2025,"€895,000","€925,000"
"89 Lambeecher, Bath Rd, Balbriggan, Dublin",Terrace,3,2,112.0 m²,—,—,27/02/2025,"€335,000","€359,000"
"14 Seabury Crescent, Malahide, Dublin, Dublin",Semi-D,4,3,122.0 m²,C1,—,27/02/2025,"€650,000","€676,000"
"Apt 15, Windermere, Gilford Rd Dublin 4, Dublin 4, Dublin",Apartment,1,1,37.0 m²,D2,—,27/02/2025,"€350,000","€380,000"
"63 Ormond Avenue, Rush, Dublin",Terrace,2,3,96.0 m²,—,—,27/02/2025,"€445,000","€392,070"
"1 Moyne Court, Ranelagh, Dublin 6, Dublin 6, Dublin",Bungalow,2,2,68.0 m²,A3,—,28/02/2025,"€775,000","€775,000"
"6 Cherbury Gardens, Booterstown, Dublin, Dublin",Semi-D,4,2,130.0 m²,F,—,28/02/2025,"€995,000","€1,210,000"
"51 Mount Drummond Avenue, Harold's Cross, Dublin 6, Dublin 6, Dublin",Terrace,2,2,75.0 m²,B3,—,28/02/2025,"€525,000","€634,000"
"15 Ashfield Rd, Ranelagh, Dublin 6, Dublin 6, Dublin",Terrace,3,2,116.0 m²,—,—,28/02/2025,"€975,000","€1,063,000"
"8 Orpen Close, Stillorgan Grove, Blackrock, Dublin",Terrace,2,1,66.0 m²,C1,—,28/02/2025,"€575,000","€585,000"
"44 Wilfield Park, Sandymount, Dublin 4, Dublin 4, Dublin",Semi-D,3,2,125.0 m²,D1,—,28/02/2025,"€1,450,000","€1,400,000"
"3 Montevella, Barnhill Rd, Dalkey, Dublin",Bungalow,2,2,93.0 m²,D1,—,28/02/2025,"€875,000","€865,000"
"106 Elm Mount Rd, Beaumont, Dublin 9, Dublin 9, Dublin",Semi-D,3,2,102.0 m²,E2,—,28/02/2025,"€495,000","€575,000"
"15 Hillcrest Court, Lucan, Dublin, Dublin",Semi-D,3,2,117.0 m²,D1,—,28/02/2025,"€415,000","€493,000"
"14 Mount Prospect Dr, Clontarf, Dublin 3, Dublin 3, Dublin",Terrace,3,2,130.0 m²,E2,—,28/02/2025,"€695,000","€710,000"
"27 Ballsbridge Wood, Shelbourne Rd, Ballsbridge Dublin 4, Dublin 4, Dublin",Terrace,4,3,150.0 m²,B2,—,28/02/2025,"€1,100,000","€1,175,000"
"69 St James Walk, Rialto, Dublin 8, Dublin 8, Dublin",Terrace,2,1,47.0 m²,F,—,28/02/2025,"€220,000","€275,000"
"22 Willowbank Park, Rathfarnham, Dublin 14, Dublin 14, Dublin",Semi-D,4,3,184.0 m²,E1,—,28/02/2025,"€775,000","€872,000"
"35 Timbermill, Artane, Dublin 5, Dublin 5, Dublin",Apartment,2,1,75.0 m²,C3,—,28/02/2025,"€325,000","€360,000"
"18 Murphystown Rd, Sandyford, Dublin 18, Dublin 18, Dublin",Semi-D,4,3,108.0 m²,C3,—,28/02/2025,"€625,000","€690,000"
"16 Woodford Meadows, Clondalkin, Dublin, Dublin 22, Dublin",End of Terrace,2,1,61.0 m²,—,—,28/02/2025,"€269,000","€320,000"
"100 Castle Ave, Clontarf, Dublin 3, Dublin 3, Dublin",Detached,4,3,212.0 m²,G,—,28/02/2025,"€1,050,000","€999,950"
"13 Orchard Hall, Diswellstown Avenue, Castleknock, Dublin",Apartment,2,2,88.0 m²,A3,—,28/02/2025,"€390,000","€420,000"
"15 Goldenridge Dr, Skerries Rd, Rush, Dublin",Semi-D,3,3,88.6 m²,—,—,28/02/2025,"€349,000","€360,000"
"Apartment 2, Brook House, Corrig Avenue, Dublin",Apartment,1,1,65.5 m²,B1,—,28/02/2025,"€425,000","€462,000"
"155 The Lighthouse, Church Rd, Eastwall Dublin 3, Dublin 3, Dublin",Apartment,1,1,45.0 m²,D1,—,28/02/2025,"€265,000","€335,000"
"91 Grace O Malley Rd, Howth Dublin 13, Dublin, Dublin 13, Dublin",Semi-D,3,1,88.0 m²,—,—,28/02/2025,"€550,000","€528,000"
"66 Lourdes Rd, Maryland, Dublin 8, Dublin 8, Dublin",Terrace,2,1,80.0 m²,—,—,28/02/2025,"€345,000","€395,000"
"5 Moatfield Rd, St Brendans Estate, Coolock Dublin 5, Dublin 5, Dublin",Terrace,3,1,97.0 m²,D1,—,28/02/2025,"€395,000","€459,000"
"58 The Beeches, Monkstown Valley, Monkstown, Dublin",End of Terrace,3,2,96.0 m²,C3,—,28/02/2025,"€725,000","€810,000"
"38 Blackberry Hill, Carrickmines, Dublin18, Dublin 18, Dublin",Semi-D,5,4,220.0 m²,A2,—,28/02/2025,"€925,000","€1,000,000"
"17 Donaghmede Rd, Donaghmede, Dublin 13, Dublin 13, Dublin",Semi-D,3,2,100.0 m²,—,—,28/02/2025,"€425,000","€450,000"
"3 Mariners Lane, Dun Laoghaire, Dublin, Dublin",Townhouse,2,2,98.0 m²,B3,—,28/02/2025,"€895,000","€865,000"
"15 Fortfield Court, Fortfield Rd, Terenure Dublin 6, Dublin",Apartment,1,1,51.0 m²,C3,—,28/02/2025,"€250,000","€300,000"
"25 Carrigmore Oak, Saggart, Dublin, Dublin 24, Dublin",Duplex,3,3,122.8 m²,B3,—,28/02/2025,"€335,000","€372,500"
"Apt 12 Block 7, Clarion Quay Apts, Ifsc Dublin 1, Dublin",Duplex,3,2,88.0 m²,C1,—,28/02/2025,"€400,000","€418,000"
"Apt 41 Joyce House East, Viking Harbour Apts, Ushers Island, Dublin 8, Dublin",Apartment,1,1,37.0 m²,B2,—,28/02/2025,"€285,000","€279,000"
"4 St Fintans Park, Deans Grange, Blackrock, Dublin",Terrace,3,1,83.0 m²,F,—,28/02/2025,"€495,000","€552,000"
"50 Morehampton Square, Morehampton Road, Donnybrook, Dublin 4, Dublin",Duplex,2,1,58.0 m²,C1,—,28/02/2025,"€500,000","€538,000"
"74 Bracken Park Drive, Carpenterstown Road, Castleknock, Dublin 15, Dublin",Semi-D,4,3,172.0 m²,A2,—,28/02/2025,"€975,000","€990,000"
"74 Lealand Rd, Clondalkin, Dublin 22, Dublin 22, Dublin",Terrace,2,2,70.6 m²,C1,—,28/02/2025,"€275,000","€300,000"
"298 Beech Park, Lucan, Co Dublin, Dublin",Semi-D,4,2,129.3 m²,E2,—,28/02/2025,"€585,000","€640,000"
"St Mary's, 191 New Cabra Road, Dublin 7, Dublin 7, Dublin",Semi-D,3,4,175.0 m²,D1,—,28/02/2025,"€1,050,000","€1,110,000"
"29 Avondale Avenue, Phibsborough, Dublin 7, Dublin 7, Dublin",Detached,2,1,67.0 m²,D2,—,28/02/2025,"€475,000","€510,000"
"37 Crestfield Ave, Whitehall, Dublin 9, Dublin 9, Dublin",Semi-D,3,1,92.0 m²,C1,—,28/02/2025,"€485,000","€576,000"
"26 The Chandler, Arran Quay, Dublin 7, Dublin 7, Dublin",Apartment,1,1,38.0 m²,D1,—,28/02/2025,"€245,000","€220,000"
"4 Weston Way, Lucan, Co. Dublin, Dublin",Detached,4,3,144.0 m²,B3,—,28/02/2025,"€615,000","€675,000"
"164 Seapark, Malahide, Dublin, Dublin 3, Dublin",Semi-D,4,2,146.0 m²,E2,—,28/02/2025,"€795,000","€838,000"
"5 Riverside Crescent, Clonshaugh, Dublin 17, Dublin 17, Dublin",Semi-D,3,1,91.0 m²,—,—,28/02/2025,"€370,000","€438,500"
"25 Aranleigh Gardens, Rathfarnham, Dublin 14, Dublin 14, Dublin",Semi-D,6,3,201.0 m²,D2,—,28/02/2025,"€895,000","€970,000"
"122 Gaybrook Lawns, Malahide, Dublin, Dublin",Semi-D,4,4,159.0 m²,D2,—,28/02/2025,"€845,000","€900,000"
"54 Laverna Way, Laurel Lodge, Castleknock Dublin 15, Dublin 15, Dublin",Semi-D,3,3,102.0 m²,C3,—,28/02/2025,"€550,000","€620,000"
"9 Middle Third, Killester, Dublin 5, Dublin 5, Dublin",Semi-D,4,2,117.0 m²,D2,—,28/02/2025,"€780,000","€890,000"
"8 Packenham House, Spencer Dock, Dublin 1, Dublin",Apartment,3,3,89.0 m²,—,—,28/02/2025,"€450,000","€462,000"
"83 Limekiln Rd, Walkinstown, Dublin 12, Dublin 12, Dublin",Terrace,3,1,92.0 m²,—,—,28/02/2025,"€390,000","€522,000"
"76 Marian Crescent, Rathfarnham, Dublin 14, Dublin 14, Dublin",Semi-D,3,1,112.0 m²,E2,—,28/02/2025,"€595,000","€737,000"
"Apt 23, Smithfield Village, Smithfield Dublin 7, Dublin 7, Dublin",Apartment,3,2,82.0 m²,C3,—,28/02/2025,"€425,000","€480,000"
"9 Church Ave, S C Rd, Dublin 8, Dublin 8, Dublin",Terrace,3,2,90.0 m²,B2,—,28/02/2025,"€575,000","€650,000"
"87 Barton Rd East, Dundrum, Dublin 14, Dublin 14, Dublin",Semi-D,4,2,115.0 m²,E2,—,28/02/2025,"€795,000","€840,000"
"13 Hazelbrook Drive, Terenure, Dublin 6w, Dublin",Semi-D,4,2,142.0 m²,F,—,28/02/2025,"€725,000","€765,000"
"30 Victoria St, Portobello, Dublin 8, Dublin 8, Dublin",Terrace,4,2,110.0 m²,—,—,28/02/2025,"€795,000","€785,000"
"8 Woodstown Close, Knocklyon, Dublin 16, Dublin 16, Dublin",Semi-D,3,3,129.0 m²,D1,—,28/02/2025,"€595,000","€665,000"
"5 Chamber St, Dublin 8, Dublin, Dublin 8, Dublin",End of Terrace,2,2,65.0 m²,—,—,28/02/2025,"€315,000","€310,000"
"13 Pine Grove Park, Swords, Dublin, Dublin",Semi-D,4,2,129.0 m²,E2,—,28/02/2025,"€575,000","€580,000"
"2 Sycamore Hall, Clay Farm, Leopardstown, Dublin 18, Dublin",Apartment,2,2,90.0 m²,A3,—,28/02/2025,"€495,000","€560,000"
"Apt 21, Manor Hall Mount Brown, Kilmainham, Dublin 8, Dublin",Apartment,2,1,58.0 m²,B2,—,28/02/2025,"€325,000","€414,000"
"98 St Annes, Kimmage Rd West, Kimmage Dublin 12, Dublin 12, Dublin",End of Terrace,2,1,63.0 m²,C3,—,28/02/2025,"€425,000","€535,000"
"11 Ormond Sq, Dublin 7, Dublin, Dublin 7, Dublin",Terrace,2,1,73.0 m²,D2,—,28/02/2025,"€555,000","€555,000"
"142 Willow Park Ave, Glasnevin North, Dublin 11, Dublin 11, Dublin",Semi-D,4,3,125.0 m²,E1,—,28/02/2025,"€595,000","€710,000"
"120 Ivy Court, Beaumont Woods, Dublin 9, Dublin 9, Dublin",Duplex,2,2,80.0 m²,C3,—,28/02/2025,"€395,000","€405,000"
"6 Palmers Copse, Palmerstown, Dublin 20, Dublin 20, Dublin",Semi-D,3,3,93.0 m²,C3,—,28/02/2025,"€375,000","€435,000"
"13 Castlepark Road, Sandycove, Co Dublin, Dublin",Terrace,4,4,232.0 m²,B2,—,28/02/2025,"€2,000,000","€2,500,000"
"215 Templeogue Rd, Terenure, Dublin 6w, Dublin",Detached,5,1,172.0 m²,C2,—,28/02/2025,"€950,000","€1,205,000"
"51 Eaton Sq, Terenure, Dublin 6w, Dublin",House,3,4,195.0 m²,C1,—,28/02/2025,"€1,495,000","€1,800,000"
"118 Shanard Rd, Santry, Dublin 9, Dublin 9, Dublin",Semi-D,3,1,92.0 m²,D2,—,28/02/2025,"€425,000","€472,000"
"72 Grand Canal Wharf, South Dock Rd, Ringsend Dublin 4, Dublin 4, Dublin",Apartment,2,2,64.0 m²,C1,—,28/02/2025,"€495,000","€499,000"
"55 The Park, Skerries Rock, Skerries, Dublin",Semi-D,4,3,118.0 m²,C2,—,28/02/2025,"€590,000","€645,000"
"Apartment 28, Castlegrange Square, Clondalkin, Dublin",Apartment,1,1,47.0 m²,D1,—,28/02/2025,"€195,000","€200,000"
"2 Gledswood Park, Clonskea, Dublin 14, Dublin 14, Dublin",Semi-D,5,2,141.0 m²,E1,—,28/02/2025,"€850,000","€835,000"
"82 Gledswood Park, Clonskeagh, Dublin, Dublin 14, Dublin",Semi-D,4,2,140.0 m²,B3,—,28/02/2025,"€925,000","€1,101,000"
"22 Windmill Sq, Porterstown, Dublin 15, Dublin 15, Dublin",Duplex,3,3,108.0 m²,—,—,28/02/2025,"€325,000","€378,000"
"25 Ely Close, Old Court Rd, Dublin 24, Dublin 24, Dublin",Bungalow,2,1,62.0 m²,D2,—,28/02/2025,"€375,000","€375,000"
"3 Orlagh View, Knocklyon, Dublin 16, Dublin 16, Dublin",Semi-D,3,2,140.0 m²,—,—,28/02/2025,"€645,000","€630,000"
"13 Castlepark Road, Sandycove, Co Dublin, Dublin",Terrace,4,4,232.0 m²,B2,—,28/02/2025,"€2,000,000","€500,000*"
"3 Blackberry Lane, Rathmines, Dublin 6, Dublin 6, Dublin",Terrace,6,3,106.0 m²,D1,—,28/02/2025,"€755,000","€765,000"
"89 Hannah Sq, St Edmunds, Lucan, Dublin",Apartment,2,2,80.0 m²,—,—,28/02/2025,"€299,950","€321,000"
"74 Citygate, St Augustine St, Dublin 8, Dublin 8, Dublin",Apartment,1,1,37.5 m²,D2,—,28/02/2025,"€230,000","€241,000"
"3 Leeson Park Ave, Dublin 4, Dublin",Terrace,2,1,124.0 m²,—,—,28/02/2025,"€1,250,000","€1,510,000"
"15 Ramillies Rd, Ballyfermot, Dublin 10, Dublin 10, Dublin",Terrace,2,1,60.0 m²,—,—,28/02/2025,"€270,000","€341,555"
"15 Glenlawn Dr, The Park, Cabinteely, Dublin 18, Dublin",Semi-D,4,3,120.0 m²,C3,—,28/02/2025,"€895,000","€860,000"
"31 Harcourt Lodge, Southern Cross Ave, Kilmainham Dublin 8, Dublin 8, Dublin",Apartment,2,1,56.0 m²,D1,—,28/02/2025,"€350,000","€351,000"
"21 Coundon Court, Killiney, County Dublin, Dublin",Detached,5,3,460.1 m²,—,—,28/02/2025,"€2,500,000","€2,400,000"
"2 Larkfield Walk, Clay Farm, Leopardstown, Dublin 18, Dublin",Semi-D,3,4,135.0 m²,A3,—,01/03/2025,"€715,000","€765,000"
"25 The Hibernian, The Gasworks, Barrow St, Dublin 4, Dublin",Apartment,1,1,54.0 m²,B3,—,03/03/2025,"€395,000","€450,000"
"7 Castleview Green, Swords, Dublin, Dublin",Terrace,2,2,92.0 m²,C2,—,03/03/2025,"€350,000","€380,000"
"18 Cremore Park, Glasnevin, Dublin 11, Dublin 11, Dublin",Semi-D,4,3,181.0 m²,B3,—,03/03/2025,"€1,175,000","€1,175,000"
"Apt 34 Lanesborough Crescent, Meakstown, Dublin 11, Dublin 11, Dublin",Terrace,3,3,146.0 m²,B3,—,03/03/2025,"€350,000","€406,000"
"53 Monastery Walk, Clondalkin, Dublin 22, Dublin 22, Dublin",Semi-D,5,—,285.0 m²,—,—,03/03/2025,"€550,000","€760,000"
"22 Auburn Avenue, Johnstown, Dun Laoghaire, Dublin",Semi-D,4,3,148.0 m²,C2,—,03/03/2025,"€795,000","€875,000"
"91 The Westmoreland, Charlotte Quay, Dublin 4, Dublin 4, Dublin",Apartment,1,1,45.0 m²,—,—,03/03/2025,"€275,000","€315,000"
"38 Ballyfermot Ave, Ballyfermot, Dublin 10, Dublin 10, Dublin",Terrace,2,1,71.0 m²,—,—,03/03/2025,"€275,000","€330,000"
"57 Oakcourt Lawn, Palmerstown, Dublin 20, Dublin 20, Dublin",Bungalow,1,1,43.0 m²,—,—,03/03/2025,"€275,000","€280,000"
"1 Martello Lodge, Martello Rd, Balbriggan, Dublin",Apartment,2,1,62.0 m²,C2,—,03/03/2025,"€245,000","€250,000"
"25 Lorcan Village, Santry, Dublin 9, Dublin 9, Dublin",Semi-D,3,2,142.0 m²,D2,—,03/03/2025,"€525,000","€570,000"
"20 Cannon Mews West, Beggars Bush, Haddington Rd Dublin 4, Dublin 4, Dublin",Duplex,2,1,68.0 m²,D2,—,03/03/2025,"€490,000","€527,778"
"78 Seapark Drive, Clontarf, Dublin 3, Dublin",Semi-D,4,3,238.6 m²,B3,—,03/03/2025,"€1,050,000","€1,375,000"
"39 Deerpark Ave, Kiltipper, Firhouse Dublin 24, Dublin 24, Dublin",Apartment,2,1,71.0 m²,C3,—,03/03/2025,"€260,000","€254,000"
"17 Hamilton Way, Balbriggan, Co Dublin, Dublin",Apartment,2,1,89.0 m²,—,—,03/03/2025,"€230,000","€262,000"
"14 Muileann Drive, Kettles Lane, Kinsealy, Dublin",Terrace,3,3,105.0 m²,A3,—,03/03/2025,"€490,000","€490,000"
