Address,Type,Bed,Bath,Size,BER,Built,Sold Date,Asking Price,Sold Price
"Apt 59 Littlewood, Belarmine, Enniskerry Rd, Dublin 18, Dublin",Apartment,2,2,80.0 m²,B3,—,07/01/2025,"€410,000","€457,000"
"8d Belfield Court, Donnybrook Dublin 4, Dublin, Dublin 4, Dublin",Apartment,1,1,46.0 m²,E2,—,08/01/2025,"€325,000","€350,000"
"21 Beech Park Rd, Dublin 18, Dublin, Dublin 18, Dublin",Detached,5,3,172.0 m²,E2,—,08/01/2025,"€895,000","€925,000"
"Puckoon, Newtown, Near Garristown, Dublin",Detached,4,3,196.0 m²,B3,—,08/01/2025,"€700,000","€760,000"
"55 Verschoyle Park Saggart Abbey, Saggart, Dublin, Dublin 24, Dublin",Semi-D,3,2,111.0 m²,—,—,08/01/2025,"€350,000","€416,000"
"14 Kirkpatrick House, Spencer Dock, I F S C Dublin 1, Dublin 1, Dublin",Apartment,2,1,48.0 m²,C1,—,08/01/2025,"€340,000","€330,000"
"47 Boden Heath Ballyboden, Dublin 16, Dublin, Dublin 16, Dublin",Apartment,2,2,77.0 m²,C1,—,08/01/2025,"€380,000","€430,000"
"66 Palmerstown Ave, Palmerstown, Dublin 20, Dublin 20, Dublin",Terrace,3,2,96.0 m²,C3,—,08/01/2025,"€385,000","€447,650"
"90 Merrion Rd, Dublin 4, Dublin 15, Dublin",Semi-D,5,3,324.0 m²,B3,—,08/01/2025,"€2,700,000","€2,800,000"
"12 Roebuck Park, Clonskeagh, Dublin 14, Dublin 14, Dublin",Terrace,3,3,165.0 m²,B3,—,08/01/2025,"€850,000","€980,000"
"127 Gracepark Manor, Drumcondra, Dublin 9, Dublin 9, Dublin",Apartment,3,2,97.0 m²,B3,—,08/01/2025,"€500,000","€500,000"
"Apartment 16 Block 5, Gallery Quay, Grand Canal Dock, Dublin",Apartment,3,3,107.0 m²,C2,—,08/01/2025,"€545,000","€477,000"
"15 Riverwood Green, Castleknock, Dublin 15, Dublin 15, Dublin",Semi-D,3,3,117.0 m²,C3,—,08/01/2025,"€550,000","€575,000"
"Apt D, 18 Warrington Place, Dublin 2, Dublin 2, Dublin",Apartment,1,1,47.0 m²,—,—,08/01/2025,"€375,000","€402,200"
"62 Roebuck Rd, Clonskeagh, Dublin 14, Dublin 14, Dublin",Semi-D,3,1,128.0 m²,F,—,08/01/2025,"€795,000","€957,500"
"St Helier, 9 Avondale Park, Killiney, Dublin",Detached,5,2,155.0 m²,D2,—,08/01/2025,"€875,000","€965,000"
"3 Balally Park, Sandyford Rd, Dundrum Dublin 16, Dublin 16, Dublin",Semi-D,3,2,123.8 m²,D1,—,08/01/2025,"€695,000","€740,000"
"129 Wesbury, Stillorgan, Dublin, Dublin",Detached,4,2,137.0 m²,D1,—,08/01/2025,"€795,000","€800,000"
"276 Larkhill Road, Whitehall, Dublin 9, Dublin 9, Dublin",End of Terrace,2,1,76.0 m²,—,—,08/01/2025,"€410,000","€454,000"
"Apt 4, 1 Dermot St, Clongriffin Dublin 13, Dublin 13, Dublin",Apartment,1,1,57.0 m²,C1,—,08/01/2025,"€245,000","€265,000"
"33 Balally Grove, Dundrum, Dublin 16, Dublin 16, Dublin",Semi-D,3,1,98.0 m²,E1,—,08/01/2025,"€654,950","€720,000"
"114 Moyville, Rathfarnham, Dublin 16, Dublin 16, Dublin",Detached,4,2,127.0 m²,C3,—,08/01/2025,"€535,000","€655,000"
"39 Dundela Park, Sandycove, Dublin, Dublin",Semi-D,3,1,115.0 m²,C3,—,08/01/2025,"€1,025,000","€1,120,000"
"3 Brainboro Terrace, Dublin 8, Dublin 15, Dublin",Terrace,3,1,85.0 m²,G,—,08/01/2025,"€475,000","€470,000"
"11 Fforster Way, Ballydowd Manor, Lucan, Dublin",Semi-D,3,3,99.0 m²,C1,—,09/01/2025,"€399,000","€504,000"
"4 Kellys Bay Jetty, Skerries, Dublin, Dublin",Apartment,2,1,60.0 m²,C2,—,09/01/2025,"€265,000","€280,000"
"3 Merrion View Ave, Dublin 4, Dublin, Dublin 4, Dublin",Bungalow,3,3,101.0 m²,G,—,09/01/2025,"€895,000","€935,000"
"16 The Cloisters, Terenure Rd North, Dublin 6w, Dublin",Semi-D,3,1,94.0 m²,E1,—,09/01/2025,"€650,000","€676,000"
"12 Edenvale, Grange Rd, Rathfarnham Dublin 16, Dublin 16, Dublin",Duplex,3,3,90.0 m²,B2,—,09/01/2025,"€495,000","€537,000"
"6 Drumcondra Park, Dublin 3, Dublin, Dublin 3, Dublin",Terrace,3,2,115.0 m²,E1,—,09/01/2025,"€650,000","€820,000"
"2 Stonepark Court, Stonepark Abbey, Rathfarnham, Dublin 14, Dublin",Terrace,4,3,144.7 m²,B3,—,09/01/2025,"€785,000","€850,000"
"1 Arundel, Monkstown Valley, Monkstown, Dublin",Semi-D,4,3,155.0 m²,B3,—,09/01/2025,"€950,000","€1,080,000"
"82 Shrewsbury, Ballsbridge, Dublin 4, Dublin 4, Dublin",Apartment,2,1,63.0 m²,D1,—,09/01/2025,"€585,000","€575,000"
"3 Turvey Avenue, Donabate, Co. Dublin, Dublin",Semi-D,3,2,89.0 m²,G,—,09/01/2025,"€495,000","€510,000"
"41 Ballawley Court, Sandyford, Dublin 16, Dublin 16, Dublin",Detached,5,3,250.0 m²,C1,—,09/01/2025,"€945,000","€1,140,000"
"29 Baldoyle Rd, Sutton, Dublin 13, Dublin 13, Dublin",Bungalow,5,3,228.0 m²,B3,—,09/01/2025,"€985,000","€1,025,000"
"14 Orlagh Court, Scholarstown Rd, Dublin 16, Dublin 16, Dublin",Semi-D,4,3,154.0 m²,C3,—,09/01/2025,"€645,000","€675,000"
"35 Churchwell Road, Belmayne, Balgriffin, Dublin 13, Dublin",Terrace,4,3,140.5 m²,B3,—,09/01/2025,"€475,000","€475,000"
"47 Hillsbrook Dr, Perrystown, Dublin 12, Dublin 12, Dublin",Semi-D,3,2,119.0 m²,E1,—,09/01/2025,"€635,000","€640,000"
"22 Fortfield Park, Terenure, Dublin 6w, Dublin",Semi-D,6,3,281.5 m²,C2,—,09/01/2025,"€1,395,000","€1,750,000"
"15 Melville Cove, Cityside, Meakstown Dublin 11, Dublin 11, Dublin",Apartment,2,2,67.8 m²,B3,—,09/01/2025,"€250,000","€280,000"
"43 Cherrywood, Dunlaoghaire, Dublin, Dublin",Detached,3,2,86.0 m²,D1,—,09/01/2025,"€495,000","€574,000"
"32 The Nurseries, Taney Road, Dundrum, Dublin 14, Dublin",Detached,4,3,146.0 m²,A2,—,09/01/2025,"€1,045,000","€1,155,000"
