Address_x,Eircode,nearest_coast_name,coast_distance_km,coast_duration_min,coast_distance_m,coast_duration_s,Type,Bed,Bath,Size,BER,Built,Sold Date,Asking Price,Sold Price,Short Address,Date of Sale (dd/mm/yyyy),Address_y,County,Price (ï¿½),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"219 Llandaff Terrace, Merrion Road, Dublin 4, Dublin 4, Dublin",D04X5K5,Sandymount Strand,1.986,5.05,1986,303,Terrace,3,2,133.0 m²,B3,—,02/01/2025,"€950,000","€1,050,000","219 LLANDAFF TERRACE, MERRION ROAD, DUBLIN 4",02/01/2025,"219 LLANDAFF TERRACE, MERRION ROAD, DUBLIN 4",Dublin,"ï¿½1,050,000.00",No,No,Second-Hand Dwelling house /Apartment,
"9 Maple Lodge, Farmleigh Woods, Castleknock, Dublin 15, Dublin",D15WK31,Ringsend,24.074,29.2,24074,1752,Apartment,3,3,207.0 m²,B3,—,02/01/2025,"€1,550,000","€1,480,000","9 MAPLE LODGE, FARMLEIGH WOODS, CASTLEKNOCK",02/01/2025,"9 MAPLE LODGE, FARMLEIGH WOODS, CASTLEKNOCK",Dublin,"ï¿½1,480,000.00",No,No,Second-Hand Dwelling house /Apartment,
"62 Wyattville Park, Dun Laoghaire, Dublin, Dublin",A96W1D6,Killiney Beach,2.114,6.383333333333334,2114,383,Semi-D,4,2,140.0 m²,D1,—,03/01/2025,"€595,000","€642,000","62 WYATTVILLE PARK, DUN LAOGHAIRE, DUBLIN",03/01/2025,"62 WYATTVILLE PARK, DUN LAOGHAIRE, DUBLIN",Dublin,"ï¿½642,000.00",No,No,Second-Hand Dwelling house /Apartment,
"2a St Assams Rd West, Raheny, Dublin 5, Dublin 5, Dublin",D05XH97,Bull Island,3.345,7.8,3345,468,Semi-D,4,3,134.0 m²,C3,—,03/01/2025,"€540,000","€605,000","2A ST ASSAMS RD WEST, RAHENY, DUBLIN 5",03/01/2025,"2A ST ASSAMS RD WEST, RAHENY, DUBLIN 5",Dublin,"ï¿½605,000.00",No,No,Second-Hand Dwelling house /Apartment,
"1 Glengara Close, Glenageary Rd Lower, Dun Laoghaire, Dublin",A96P8V0,Dún Laoghaire,1.296,5.233333333333333,1296,314,Bungalow,2,1,60.0 m²,D2,—,03/01/2025,"€525,000","€610,000","1 GLENGARA CLOSE, GLENAGEARY RD LOWER, DUN LAOGHAIRE",03/01/2025,"1 GLENGARA CLOSE, GLENAGEARY RD LOWER, DUN LAOGHAIRE",Dublin,"ï¿½610,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt 3, Rookstown, Thormanby Rd, Dublin 13, Dublin",D13NY54,Howth Head,8.497,13.8,8497,828,Apartment,2,2,78.0 m²,E1,—,03/01/2025,"€499,000","€499,000","APT 3, ROOKSTOWN, THORMANBY RD",03/01/2025,"APT 3, ROOKSTOWN, THORMANBY RD",Dublin,"ï¿½499,000.00",No,No,Second-Hand Dwelling house /Apartment,
"4 Marconi Crescent, Honeypark Dun Laoghaire, Co Dublin, Dublin",A96CR62,Monkstown,1.993,6.6,1993,396,End of Terrace,4,3,174.0 m²,B2,—,03/01/2025,"€895,000","€999,995","4 MARCONI CRESCENT, HONEYPARK DUN LAOGHAIRE, CO DUBLIN",03/01/2025,"4 MARCONI CRESCENT, HONEYPARK DUN LAOGHAIRE, CO DUBLIN",Dublin,"ï¿½999,995.00",No,No,Second-Hand Dwelling house /Apartment,
"36 Albany Road, Ranelagh, Dublin 6, Dublin 6, Dublin",D06N6F7,Ringsend,3.866,12.9,3866,774,Semi-D,3,2,131.7 m²,—,—,03/01/2025,"€1,395,000","€1,600,000","36 ALBANY ROAD, RANELAGH, DUBLIN 6",03/01/2025,"36 ALBANY ROAD, RANELAGH, DUBLIN 6",Dublin,"ï¿½1,600,000.00",No,No,Second-Hand Dwelling house /Apartment,
"13 Vico Rock, Sorrento Rd, Dalkey, Dublin",A96T925,Dalkey,0.32,1.4666666666666666,320,88,Apartment,2,1,52.0 m²,E1,—,03/01/2025,"€450,000","€460,000","13 VICO ROCK, SORRENTO RD, DALKEY",03/01/2025,"13 VICO ROCK, SORRENTO RD, DALKEY",Dublin,"ï¿½460,000.00",No,No,Second-Hand Dwelling house /Apartment,
"43 Glandore Rd, Griffith Ave, Dublin 9, Dublin 15, Dublin",D09F9N2,Clontarf Seafront,4.032,9.783333333333333,4032,587,Detached,4,2,139.0 m²,E2,—,03/01/2025,"€795,000","€835,000","43 GLANDORE RD, GRIFFITH AVE, DUBLIN 9",03/01/2025,"43 GLANDORE RD, GRIFFITH AVE, DUBLIN 9",Dublin,"ï¿½835,000.00",No,No,Second-Hand Dwelling house /Apartment,
"50 Roebuck Castle, Clonskeagh, Dublin 14, Dublin 14, Dublin",D14V406,Blackrock,4.704,12.466666666666667,4704,748,Terrace,3,1,81.0 m²,C1,—,06/01/2025,"€625,000","€715,000","50 ROEBUCK CASTLE, CLONSKEAGH, DUBLIN 14",06/01/2025,"50 ROEBUCK CASTLE, CLONSKEAGH, DUBLIN 14",Dublin,"ï¿½715,000.00",No,No,Second-Hand Dwelling house /Apartment,
"17 Westhaven, Clonsilla, Dublin 15, Dublin 15, Dublin",D15EK6X,Ringsend,26.032,29.983333333333334,26032,1799,Semi-D,3,2,87.0 m²,C3,—,06/01/2025,"€330,000","€386,000","17 WESTHAVEN, CLONSILLA, DUBLIN 15",06/01/2025,"17 WESTHAVEN, CLONSILLA, DUBLIN 15",Dublin,"ï¿½386,000.00",No,No,Second-Hand Dwelling house /Apartment,
"13 Albert Place East, Lower Grand Canal Street, Dublin 2, Dublin 2, Dublin",D02PF38,Ringsend,1.519,5.35,1519,321,Terrace,3,4,137.0 m²,B2,—,06/01/2025,"€895,000","€1,005,000","13 ALBERT PLACE EAST, LOWER GRAND CANAL STREET, DUBLIN 2",06/01/2025,"13 ALBERT PLACE EAST, LOWER GRAND CANAL STREET, DUBLIN 2",Dublin,"ï¿½1,005,000.00",No,No,Second-Hand Dwelling house /Apartment,
"19 Pembroke Lane, Pembroke St Lower, Dublin 2, Dublin 2, Dublin",D02C5F6,Ringsend,2.402,9.683333333333334,2402,581,Terrace,3,2,92.0 m²,F,—,06/01/2025,"€599,000","€602,000","19 PEMBROKE LANE, PEMBROKE ST LOWER, DUBLIN 2",06/01/2025,"19 PEMBROKE LANE, PEMBROKE ST LOWER, DUBLIN 2",Dublin,"ï¿½602,000.00",No,No,Second-Hand Dwelling house /Apartment,
"32 Oranmore Rd, Ballyfermot, Dublin 10, Dublin 10, Dublin",D10E195,Ringsend,11.173,33.5,11173,2010,End of Terrace,2,1,72.0 m²,—,—,06/01/2025,"€260,000","€273,000","32 ORANMORE RD, BALLYFERMOT, DUBLIN 10",06/01/2025,"32 ORANMORE RD, BALLYFERMOT, DUBLIN 10",Dublin,"ï¿½273,000.00",No,No,Second-Hand Dwelling house /Apartment,
"22 The Terrace, Carrickmines Manor, Dublin 18, Dublin 18, Dublin",D18T274,Killiney Beach,6.521,12.616666666666667,6521,757,Terrace,3,3,104.0 m²,C1,—,06/01/2025,"€500,000","€535,000","22 THE TERRACE, CARRICKMINES MANOR, DUBLIN 18",06/01/2025,"22 THE TERRACE, CARRICKMINES MANOR, DUBLIN 18",Dublin,"ï¿½535,000.00",No,No,Second-Hand Dwelling house /Apartment,
"100 The Oval, Tullyvale, Cabinteely Dublin 18, Dublin 18, Dublin",D18AV66,Killiney Beach,3.106,9.316666666666666,3106,559,Apartment,3,2,95.0 m²,C2,—,06/01/2025,"€395,000","€425,500","100 THE OVAL, TULLYVALE, CABINTEELY DUBLIN 18",06/01/2025,"100 THE OVAL, TULLYVALE, CABINTEELY DUBLIN 18",Dublin,"ï¿½425,500.00",No,No,Second-Hand Dwelling house /Apartment,
"81 Pinewood Crescent, Glasnevin North, Dublin 11, Dublin",D11KC53,Clontarf Seafront,8.741,21.616666666666667,8741,1297,Semi-D,3,1,105.0 m²,E1,—,06/01/2025,"€490,000","€590,000","81 PINEWOOD CRESCENT, GLASNEVIN NORTH, DUBLIN 11",06/01/2025,"81 PINEWOOD CRESCENT, GLASNEVIN NORTH, DUBLIN 11",Dublin,"ï¿½590,000.00",No,No,Second-Hand Dwelling house /Apartment,
"30 Parknasilla Rise, Loughlistown, Co Dublin, Dublin 18, Dublin",D18T224,Killiney Beach,4.254,8.866666666666667,4254,532,Semi-D,3,2,90.0 m²,C2,—,06/01/2025,"€549,950","€600,000","30 PARKNASILLA RISE, LOUGHLISTOWN, CO DUBLIN",06/01/2025,"30 PARKNASILLA RISE, LOUGHLISTOWN, CO DUBLIN",Dublin,"ï¿½600,000.00",No,No,Second-Hand Dwelling house /Apartment,
"7 Eaton Court, Terenure Rd North, Terenure Dublin 6w, Dublin",D6WA368,Ringsend,5.783,18.2,5783,1092,Apartment,2,1,51.7 m²,D2,—,06/01/2025,"€375,000","€400,000","7 EATON COURT, TERENURE RD NORTH, TERENURE DUBLIN 6W",06/01/2025,"7 EATON COURT, TERENURE RD NORTH, TERENURE DUBLIN 6W",Dublin,"ï¿½400,000.00",No,No,Second-Hand Dwelling house /Apartment,
"25 Fosterbrook, Booterstown, Blackrock, Dublin",A94WC94,Blackrock,3.495,9.4,3495,564,Semi-D,4,3,117.0 m²,C3,—,06/01/2025,"€795,000","€940,000","25 FOSTERBROOK, BOOTERSTOWN, BLACKROCK",06/01/2025,"25 FOSTERBROOK, BOOTERSTOWN, BLACKROCK",Dublin,"ï¿½940,000.00",No,No,Second-Hand Dwelling house /Apartment,
"3 Strasburg Terrace, Irishtown, Dublin 4, Dublin 4, Dublin",D04HA29,Ringsend,0.97,4.4,970,264,Terrace,4,1,122.0 m²,E2,—,06/01/2025,"€690,000","€750,000","3 STRASBURG TERRACE, IRISHTOWN, DUBLIN 4",06/01/2025,"3 STRASBURG TERRACE, IRISHTOWN, DUBLIN 4",Dublin,"ï¿½750,000.00",No,No,Second-Hand Dwelling house /Apartment,
"12 Portersgate Way, Clonsilla, Dublin 15, Dublin 15, Dublin",D15W8YC,Ringsend,27.123,31.516666666666666,27123,1891,Semi-D,4,3,107.0 m²,C1,—,06/01/2025,"€470,000","€535,000","12 PORTERSGATE WAY, CLONSILLA, DUBLIN 15",06/01/2025,"12 PORTERSGATE WAY, CLONSILLA, DUBLIN 15",Dublin,"ï¿½535,000.00",No,No,Second-Hand Dwelling house /Apartment,
"93 Hanover Riverside, Sir John Rogersons Quay, Riverside Dublin 2, Dublin 2, Dublin",D02DA27,Ringsend,1.751,6.5,1751,390,Apartment,2,2,85.0 m²,B3,—,06/01/2025,"€540,000","€546,000","93 HANOVER RIVERSIDE, SIR JOHN ROGERSONS QUAY, RIVERSIDE DUBLIN 2",06/01/2025,"93 HANOVER RIVERSIDE, SIR JOHN ROGERSONS QUAY, RIVERSIDE DUBLIN 2",Dublin,"ï¿½546,000.00",No,No,Second-Hand Dwelling house /Apartment,
"4 Belgrove Park, Chapelizod, Dublin 20, Dublin 20, Dublin",D20CK84,Blackrock,26.672,30.45,26672,1827,Semi-D,3,2,109.0 m²,F,—,07/01/2025,"€560,000","€530,000","4 BELGROVE PARK, CHAPELIZOD, DUBLIN 20",07/01/2025,"4 BELGROVE PARK, CHAPELIZOD, DUBLIN 20",Dublin,"ï¿½530,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt 15 Le Hunt House, Brennanstown, Dublin 18, Dublin",,Killiney Beach,6.891,13.183333333333334,6891,791,Apartment,2,2,76.0 m²,B3,—,07/01/2025,"€405,000","€405,000","APT 15 LE HUNT HOUSE, BRENNANSTOWN, DUBLIN 18",07/01/2025,"APT 15 LE HUNT HOUSE, BRENNANSTOWN, DUBLIN 18",Dublin,"ï¿½405,000.00",No,No,Second-Hand Dwelling house /Apartment,
"34 Templecourtnorthwoo, Santry, Dublin 9, Dublin 9, Dublin",D09FD45,Clontarf Seafront,8.491,21.35,8491,1281,Apartment,2,2,64.0 m²,—,—,07/01/2025,"€295,000","€339,000","34 TEMPLECOURTNORTHWOO, SANTRY, DUBLIN 9",07/01/2025,"34 TEMPLECOURTNORTHWOO, SANTRY, DUBLIN 9",Dublin,"ï¿½339,000.00",No,No,Second-Hand Dwelling house /Apartment,
"1 Rosemount Court, Inchicore Rd, Kilmainham Dublin 8, Dublin 8, Dublin",D08T858,Ringsend,8.136,26.3,8136,1578,Apartment,1,1,37.2 m²,C3,—,07/01/2025,"€260,000","€313,000","1 ROSEMOUNT COURT, INCHICORE RD, KILMAINHAM DUBLIN 8",07/01/2025,"1 ROSEMOUNT COURT, INCHICORE RD, KILMAINHAM DUBLIN 8",Dublin,"ï¿½313,000.00",No,No,Second-Hand Dwelling house /Apartment,
"65 The Lighthouse Apts, Church Rd East Wall, Dublin 3, Dublin 3, Dublin",D03P592,Clontarf Seafront,3.176,6.633333333333334,3176,398,Apartment,2,2,71.0 m²,B2,—,07/01/2025,"€375,000","€410,000","65 THE LIGHTHOUSE APTS, CHURCH RD EAST WALL, DUBLIN 3",07/01/2025,"65 THE LIGHTHOUSE APTS, CHURCH RD EAST WALL, DUBLIN 3",Dublin,"ï¿½410,000.00",No,No,Second-Hand Dwelling house /Apartment,
"73 Barton Rd East, Churchtown, Dublin 14, Dublin 14, Dublin",D14E0Y7,Blackrock,7.559,18.766666666666666,7559,1126,Semi-D,3,2,109.0 m²,E1,—,07/01/2025,"€699,000","€744,000","73 BARTON RD EAST, CHURCHTOWN, DUBLIN 14",07/01/2025,"73 BARTON RD EAST, CHURCHTOWN, DUBLIN 14",Dublin,"ï¿½744,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Glendarragh, 70 Merrion Rd, Ballsbridge Dublin 4, Dublin 4, Dublin",D04A2P9,Sandymount Strand,1.368,4.616666666666666,1368,277,Semi-D,4,3,201.0 m²,E1,—,07/01/2025,"€1,550,000","€1,750,000","GLENDARRAGH, 70 MERRION RD, BALLSBRIDGE DUBLIN 4",07/01/2025,"GLENDARRAGH, 70 MERRION RD, BALLSBRIDGE DUBLIN 4",Dublin,"ï¿½1,750,000.00",No,No,Second-Hand Dwelling house /Apartment,
"32 Glenwood Rd, Cameron Park, Dublin 5, Dublin 5, Dublin",D05Y9C3,Clontarf Seafront,4.17,10.083333333333334,4170,605,Semi-D,3,1,95.0 m²,C2,—,07/01/2025,"€480,000","€530,000","32 GLENWOOD RD, CAMERON PARK, DUBLIN 5",07/01/2025,"32 GLENWOOD RD, CAMERON PARK, DUBLIN 5",Dublin,"ï¿½530,000.00",No,No,Second-Hand Dwelling house /Apartment,
"15 Ballyowen Hall, Lucan, Dublin, Dublin",K78TX67,Ringsend,26.656,26.966666666666665,26656,1618,Apartment,2,2,61.0 m²,C2,—,07/01/2025,"€260,000","€314,000","15 BALLYOWEN HALL, LUCAN, DUBLIN",07/01/2025,"15 BALLYOWEN HALL, LUCAN, DUBLIN",Dublin,"ï¿½314,000.00",No,No,Second-Hand Dwelling house /Apartment,
"60 Larkhill Rd, Whitehall, Dublin 9, Dublin 9, Dublin",D09RR50,Clontarf Seafront,6.2,15.6,6200,936,Terrace,3,2,85.8 m²,D1,—,07/01/2025,"€425,000","€452,000","60 LARKHILL RD, WHITEHALL, DUBLIN 9",07/01/2025,"60 LARKHILL RD, WHITEHALL, DUBLIN 9",Dublin,"ï¿½452,000.00",No,No,Second-Hand Dwelling house /Apartment,
"63 Baltrasna House, Spencer Dock, Dublin 1, Dublin 1, Dublin",D01R275,Ringsend,3.704,10.016666666666667,3704,601,Apartment,2,2,72.0 m²,—,—,07/01/2025,"€425,000","€410,000","63 BALTRASNA HOUSE, SPENCER DOCK, DUBLIN 1",07/01/2025,"63 BALTRASNA HOUSE, SPENCER DOCK, DUBLIN 1",Dublin,"ï¿½410,000.00",No,No,Second-Hand Dwelling house /Apartment,
"51 Castle Grove, Kilgobbin Wood, Sandyford Dublin 18, Dublin 18, Dublin",D18V122,Blackrock,7.292,17.983333333333334,7292,1079,Semi-D,5,4,166.0 m²,C2,—,07/01/2025,"€750,000","€750,000","51 CASTLE GROVE, KILGOBBIN WOOD, SANDYFORD DUBLIN 18",07/01/2025,"51 CASTLE GROVE, KILGOBBIN WOOD, SANDYFORD DUBLIN 18",Dublin,"ï¿½750,000.00",No,No,Second-Hand Dwelling house /Apartment,
"13 Gledswood Park, Clonskeagh, Dublin 14, Dublin 14, Dublin",D14TF66,Sandymount Strand,4.505,12.433333333333334,4505,746,Semi-D,4,2,140.0 m²,B3,—,07/01/2025,"€975,000","€1,000,000","13 GLEDSWOOD PARK, CLONSKEAGH, DUBLIN 14",07/01/2025,"13 GLEDSWOOD PARK, CLONSKEAGH, DUBLIN 14",Dublin,"ï¿½1,000,000.00",No,No,Second-Hand Dwelling house /Apartment,
"5 Grangeview Place, Clondalkin, Dublin 22, Dublin 22, Dublin",D22VW73,Blackrock,27.778,34.083333333333336,27778,2045,Apartment,2,1,66.0 m²,D1,—,07/01/2025,"€260,000","€260,000","5 GRANGEVIEW PLACE, CLONDALKIN, DUBLIN 22",07/01/2025,"5 GRANGEVIEW PLACE, CLONDALKIN, DUBLIN 22",Dublin,"ï¿½260,000.00",No,No,Second-Hand Dwelling house /Apartment,
"85 Block A, Smithfield Market, Smithfield Dublin 7, Dublin 7, Dublin",D07WT72,Ringsend,6.089,22.333333333333332,6089,1340,Apartment,1,1,59.0 m²,C1,—,07/01/2025,"€299,000","€346,000","85 BLOCK A, SMITHFIELD MARKET, SMITHFIELD DUBLIN 7",07/01/2025,"85 BLOCK A, SMITHFIELD MARKET, SMITHFIELD DUBLIN 7",Dublin,"ï¿½346,000.00",No,No,Second-Hand Dwelling house /Apartment,
"11 Cherry Garth, Mount Merrion, Dublin, Dublin",A94X2K0,Blackrock,2.949,8.7,2949,522,Bungalow,4,1,132.0 m²,G,—,07/01/2025,"€975,000","€1,051,000","11 CHERRY GARTH, MOUNT MERRION, DUBLIN",07/01/2025,"11 CHERRY GARTH, MOUNT MERRION, DUBLIN",Dublin,"ï¿½1,051,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt 59 Littlewood, Belarmine, Enniskerry Rd, Dublin 18, Dublin",D18FK23,Blackrock,8.661,19.6,8661,1176,Apartment,2,2,80.0 m²,B3,—,07/01/2025,"€410,000","€457,000","APT 59 LITTLEWOOD, BELARMINE, ENNISKERRY RD",07/01/2025,"APT 59 LITTLEWOOD, BELARMINE, ENNISKERRY RD",Dublin,"ï¿½457,000.00",No,No,Second-Hand Dwelling house /Apartment,
"8d Belfield Court, Donnybrook Dublin 4, Dublin, Dublin 4, Dublin",D04WV05,Sandymount Strand,3.39,8.916666666666666,3390,535,Apartment,1,1,46.0 m²,E2,—,08/01/2025,"€325,000","€350,000","8D BELFIELD COURT, DONNYBROOK DUBLIN 4, DUBLIN",08/01/2025,"8D BELFIELD COURT, DONNYBROOK DUBLIN 4, DUBLIN",Dublin,"ï¿½350,000.00",No,No,Second-Hand Dwelling house /Apartment,
"21 Beech Park Rd, Dublin 18, Dublin, Dublin 18, Dublin",D18A7X9,Monkstown,3.692,8.516666666666667,3692,511,Detached,5,3,172.0 m²,E2,—,08/01/2025,"€895,000","€925,000","21 BEECH PARK RD, DUBLIN 18, DUBLIN",08/01/2025,"21 BEECH PARK RD, DUBLIN 18, DUBLIN",Dublin,"ï¿½925,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Puckoon, Newtown, Near Garristown, Dublin",A42K239,Ringsend,40.284,34.86666666666667,40284,2092,Detached,4,3,196.0 m²,B3,—,08/01/2025,"€700,000","€760,000","PUCKOON, NEWTOWN, NEAR GARRISTOWN",08/01/2025,"PUCKOON, NEWTOWN, NEAR GARRISTOWN",Dublin,"ï¿½760,000.00",No,No,Second-Hand Dwelling house /Apartment,
"55 Verschoyle Park Saggart Abbey, Saggart, Dublin, Dublin 24, Dublin",D24V963,Blackrock,22.541,33.516666666666666,22541,2011,Semi-D,3,2,111.0 m²,—,—,08/01/2025,"€350,000","€416,000","55 VERSCHOYLE PARK SAGGART ABBEY, SAGGART, DUBLIN",08/01/2025,"55 VERSCHOYLE PARK SAGGART ABBEY, SAGGART, DUBLIN",Dublin,"ï¿½416,000.00",No,No,Second-Hand Dwelling house /Apartment,
"14 Kirkpatrick House, Spencer Dock, I F S C Dublin 1, Dublin 1, Dublin",D01DK59,Ringsend,3.658,9.866666666666667,3658,592,Apartment,2,1,48.0 m²,C1,—,08/01/2025,"€340,000","€330,000","14 KIRKPATRICK HOUSE, SPENCER DOCK, I F S C DUBLIN 1",08/01/2025,"14 KIRKPATRICK HOUSE, SPENCER DOCK, I F S C DUBLIN 1",Dublin,"ï¿½330,000.00",No,No,Second-Hand Dwelling house /Apartment,
"47 Boden Heath Ballyboden, Dublin 16, Dublin, Dublin 16, Dublin",D16K704,Ringsend,10.086,30.35,10086,1821,Apartment,2,2,77.0 m²,C1,—,08/01/2025,"€380,000","€430,000","47 BODEN HEATH BALLYBODEN, DUBLIN 16, DUBLIN",08/01/2025,"47 BODEN HEATH BALLYBODEN, DUBLIN 16, DUBLIN",Dublin,"ï¿½430,000.00",No,No,Second-Hand Dwelling house /Apartment,
"66 Palmerstown Ave, Palmerstown, Dublin 20, Dublin 20, Dublin",D20NY57,Blackrock,24.959,28.283333333333335,24959,1697,Terrace,3,2,96.0 m²,C3,—,08/01/2025,"€385,000","€447,650","66 PALMERSTOWN AVE, PALMERSTOWN, DUBLIN 20",08/01/2025,"66 PALMERSTOWN AVE, PALMERSTOWN, DUBLIN 20",Dublin,"ï¿½447,650.00",No,No,Second-Hand Dwelling house /Apartment,
"12 Roebuck Park, Clonskeagh, Dublin 14, Dublin 14, Dublin",D14CH98,Sandymount Strand,5.62,15.266666666666667,5620,916,Terrace,3,3,165.0 m²,B3,—,08/01/2025,"€850,000","€980,000","12 ROEBUCK PARK, CLONSKEAGH, DUBLIN 14",08/01/2025,"12 ROEBUCK PARK, CLONSKEAGH, DUBLIN 14",Dublin,"ï¿½980,000.00",No,No,Second-Hand Dwelling house /Apartment,
"127 Gracepark Manor, Drumcondra, Dublin 9, Dublin 9, Dublin",D09E446,Clontarf Seafront,5.343,15.533333333333333,5343,932,Apartment,3,2,97.0 m²,B3,—,08/01/2025,"€500,000","€500,000","127 GRACEPARK MANOR, DRUMCONDRA, DUBLIN 9",08/01/2025,"127 GRACEPARK MANOR, DRUMCONDRA, DUBLIN 9",Dublin,"ï¿½500,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apartment 16 Block 5, Gallery Quay, Grand Canal Dock, Dublin",D02W893,Ringsend,0.975,2.8,975,168,Apartment,3,3,107.0 m²,C2,—,08/01/2025,"€545,000","€477,000","APARTMENT 16 BLOCK 5, GALLERY QUAY, GRAND CANAL DOCK",08/01/2025,"APARTMENT 16 BLOCK 5, GALLERY QUAY, GRAND CANAL DOCK",Dublin,"ï¿½477,000.00",No,No,Second-Hand Dwelling house /Apartment,
"15 Riverwood Green, Castleknock, Dublin 15, Dublin 15, Dublin",D15N9C5,Ringsend,24.733,30.416666666666668,24733,1825,Semi-D,3,3,117.0 m²,C3,—,08/01/2025,"€550,000","€575,000","15 RIVERWOOD GREEN, CASTLEKNOCK, DUBLIN 15",08/01/2025,"15 RIVERWOOD GREEN, CASTLEKNOCK, DUBLIN 15",Dublin,"ï¿½575,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt D, 18 Warrington Place, Dublin 2, Dublin 2, Dublin",D02EP93,Ringsend,1.627,5.916666666666667,1627,355,Apartment,1,1,47.0 m²,—,—,08/01/2025,"€375,000","€402,200","APT D, 18 WARRINGTON PLACE, DUBLIN 2",08/01/2025,"APT D, 18 WARRINGTON PLACE, DUBLIN 2",Dublin,"ï¿½402,200.00",No,No,Second-Hand Dwelling house /Apartment,
"62 Roebuck Rd, Clonskeagh, Dublin 14, Dublin 14, Dublin",D14WN26,Blackrock,4.592,10.6,4592,636,Semi-D,3,1,128.0 m²,F,—,08/01/2025,"€795,000","€957,500","62 ROEBUCK RD, CLONSKEAGH, DUBLIN 14",08/01/2025,"62 ROEBUCK RD, CLONSKEAGH, DUBLIN 14",Dublin,"ï¿½957,500.00",No,No,Second-Hand Dwelling house /Apartment,
"St Helier, 9 Avondale Park, Killiney, Dublin",A96FF67,Dalkey,2.175,5.083333333333333,2175,305,Detached,5,2,155.0 m²,D2,—,08/01/2025,"€875,000","€965,000","ST HELIER, 9 AVONDALE PARK, KILLINEY",08/01/2025,"ST HELIER, 9 AVONDALE PARK, KILLINEY",Dublin,"ï¿½965,000.00",No,No,Second-Hand Dwelling house /Apartment,
"3 Balally Park, Sandyford Rd, Dundrum Dublin 16, Dublin 16, Dublin",D16C902,Blackrock,6.268,16.05,6268,963,Semi-D,3,2,123.8 m²,D1,—,08/01/2025,"€695,000","€740,000","3 BALALLY PARK, SANDYFORD RD, DUNDRUM DUBLIN 16",08/01/2025,"3 BALALLY PARK, SANDYFORD RD, DUNDRUM DUBLIN 16",Dublin,"ï¿½740,000.00",No,No,Second-Hand Dwelling house /Apartment,
"129 Wesbury, Stillorgan, Dublin, Dublin",A94X273,Blackrock,3.968,11.833333333333334,3968,710,Detached,4,2,137.0 m²,D1,—,08/01/2025,"€795,000","€800,000","129 WESBURY, STILLORGAN, DUBLIN",08/01/2025,"129 WESBURY, STILLORGAN, DUBLIN",Dublin,"ï¿½800,000.00",No,No,Second-Hand Dwelling house /Apartment,
"276 Larkhill Road, Whitehall, Dublin 9, Dublin 9, Dublin",D09E422,Clontarf Seafront,5.819,14.35,5819,861,End of Terrace,2,1,76.0 m²,—,—,08/01/2025,"€410,000","€454,000","276 LARKHILL ROAD, WHITEHALL, DUBLIN 9",08/01/2025,"276 LARKHILL ROAD, WHITEHALL, DUBLIN 9",Dublin,"ï¿½454,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Apt 4, 1 Dermot St, Clongriffin Dublin 13, Dublin 13, Dublin",D13W544,Bull Island,7.765,16.183333333333334,7765,971,Apartment,1,1,57.0 m²,C1,—,08/01/2025,"€245,000","€265,000","APT 4, 1 DERMOT ST, CLONGRIFFIN DUBLIN 13",08/01/2025,"APT 4, 1 DERMOT ST, CLONGRIFFIN DUBLIN 13",Dublin,"ï¿½265,000.00",No,No,Second-Hand Dwelling house /Apartment,
"33 Balally Grove, Dundrum, Dublin 16, Dublin 16, Dublin",D16NH93,Blackrock,6.836,17.533333333333335,6836,1052,Semi-D,3,1,98.0 m²,E1,—,08/01/2025,"€654,950","€720,000","33 BALALLY GROVE, DUNDRUM, DUBLIN 16",08/01/2025,"33 BALALLY GROVE, DUNDRUM, DUBLIN 16",Dublin,"ï¿½720,000.00",No,No,Second-Hand Dwelling house /Apartment,
"114 Moyville, Rathfarnham, Dublin 16, Dublin 16, Dublin",D16W271,Ringsend,10.062,29.4,10062,1764,Detached,4,2,127.0 m²,C3,—,08/01/2025,"€535,000","€655,000","114 MOYVILLE, RATHFARNHAM, DUBLIN 16",08/01/2025,"114 MOYVILLE, RATHFARNHAM, DUBLIN 16",Dublin,"ï¿½655,000.00",No,No,Second-Hand Dwelling house /Apartment,
"39 Dundela Park, Sandycove, Dublin, Dublin",A96F5X8,Dún Laoghaire,2.222,8.6,2222,516,Semi-D,3,1,115.0 m²,C3,—,08/01/2025,"€1,025,000","€1,120,000","39 DUNDELA PARK, SANDYCOVE, DUBLIN",08/01/2025,"39 DUNDELA PARK, SANDYCOVE, DUBLIN",Dublin,"ï¿½1,120,000.00",No,No,Second-Hand Dwelling house /Apartment,
