Address_x,Eircode,nearest_coast_name,coast_distance_km,coast_duration_min,coast_distance_m,coast_duration_s,Type,Bed,Bath,Size,BER,Built,Sold Date,Asking Price,Sold Price,Short Address,Date of Sale (dd/mm/yyyy),Address_y,County,Price (ï¿½),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
"33 Wood Dale Crescent, Ballycullen, Dublin 24, Dublin 24, Dublin",D24K8P7,Blackrock,15.564,23.85,15564,1431,Detached,4,4,140.0 m²,C2,—,22/05/2025,"€645,000","€710,000","33 WOOD DALE CRESCENT, BALLYCULLEN, DUBLIN 24",22/05/2025,"33 WOOD DALE CRESCENT, BALLYCULLEN, DUBLIN 24",Dublin,"ï¿½710,000.00",No,No,Second-Hand Dwelling house /Apartment,
"27 Taylor Hill Grange, Naul Road, Dublin, Dublin",K32YK58,Ringsend,34.193,29.866666666666667,34193,1792,Terrace,3,3,93.0 m²,A3,—,22/05/2025,"€385,000","€465,000","27 TAYLOR HILL GRANGE, NAUL ROAD, DUBLIN",22/05/2025,"27 TAYLOR HILL GRANGE, NAUL ROAD, DUBLIN",Dublin,"ï¿½465,000.00",No,No,Second-Hand Dwelling house /Apartment,
"22 Coolamber Park, Templeogue, Dublin 16, Dublin 16, Dublin",D16A0P0,Ringsend,9.689,28.633333333333333,9689,1718,Detached,4,3,152.5 m²,F,—,22/05/2025,"€725,000","€710,000","22 COOLAMBER PARK, TEMPLEOGUE, DUBLIN 16",22/05/2025,"22 COOLAMBER PARK, TEMPLEOGUE, DUBLIN 16",Dublin,"ï¿½710,000.00",No,No,Second-Hand Dwelling house /Apartment,
"134 Lucan Rd, Chapelizord, Dublin 20, Dublin 20, Dublin",D20YY49,Blackrock,26.573,30.5,26573,1830,Semi-D,4,2,118.0 m²,E2,—,22/05/2025,"€575,000","€680,000","134 LUCAN RD, CHAPELIZORD, DUBLIN 20",22/05/2025,"134 LUCAN RD, CHAPELIZORD, DUBLIN 20",Dublin,"ï¿½680,000.00",No,No,Second-Hand Dwelling house /Apartment,
"Glenbeigh, Clonskeagh Rd, Clonskeagh Dublin 14, Dublin 14, Dublin",D14C9W9,Sandymount Strand,4.273,12.85,4273,771,Detached,3,1,89.0 m²,G,—,22/05/2025,"€845,000","€845,000","GLENBEIGH, CLONSKEAGH RD, CLONSKEAGH DUBLIN 14",22/05/2025,"GLENBEIGH, CLONSKEAGH RD, CLONSKEAGH DUBLIN 14",Dublin,"ï¿½845,000.00",No,No,Second-Hand Dwelling house /Apartment,
"3 Killininny Court, Firhouse Rd, Firhouse Dublin 24, Dublin 24, Dublin",D24R621,Ringsend,12.12,31.6,12120,1896,Apartment,1,1,50.0 m²,—,—,22/05/2025,"€220,000","€250,000","3 KILLININNY COURT, FIRHOUSE RD, FIRHOUSE DUBLIN 24",22/05/2025,"3 KILLININNY COURT, FIRHOUSE RD, FIRHOUSE DUBLIN 24",Dublin,"ï¿½250,000.00",No,No,Second-Hand Dwelling house /Apartment,
"24 Belarmine Way, Stepaside, Dublin 18, Dublin 18, Dublin",D18R207,Blackrock,8.702,19.783333333333335,8702,1187,Terrace,4,4,151.0 m²,B3,—,22/05/2025,"€645,000","€711,000","24 BELARMINE WAY, STEPASIDE, DUBLIN 18",22/05/2025,"24 BELARMINE WAY, STEPASIDE, DUBLIN 18",Dublin,"ï¿½711,000.00",No,No,Second-Hand Dwelling house /Apartment,
"1 White Pines Heights, Stocking Avenue, Rathfarnham, Dublin",D16H3F8,Ringsend,11.473,32.083333333333336,11473,1925,End of Terrace,4,3,127.0 m²,A2,—,22/05/2025,"€645,000","€680,000","1 WHITE PINES HEIGHTS, STOCKING AVENUE, RATHFARNHAM",22/05/2025,"1 WHITE PINES HEIGHTS, STOCKING AVENUE, RATHFARNHAM",Dublin,"ï¿½680,000.00",No,No,Second-Hand Dwelling house /Apartment,
"27 Hunters Ave, Hunterswood, Ballycullen, Dublin",D24PY20,Blackrock,15.111,22.933333333333334,15111,1376,Apartment,2,2,82.0 m²,C1,—,22/05/2025,"€295,000","€375,000","27 HUNTERS AVE, HUNTERSWOOD, BALLYCULLEN",22/05/2025,"27 HUNTERS AVE, HUNTERSWOOD, BALLYCULLEN",Dublin,"ï¿½375,000.00",No,No,Second-Hand Dwelling house /Apartment,
"72 Riverbank Hall, Addison Ave, Addison Park Dublin 11, Dublin 11, Dublin",D11WP26,Clontarf Seafront,6.843,18.933333333333334,6843,1136,Apartment,2,2,70.0 m²,C2,—,22/05/2025,"€395,000","€480,000","72 RIVERBANK HALL, ADDISON AVE, ADDISON PARK DUBLIN 11",22/05/2025,"72 RIVERBANK HALL, ADDISON AVE, ADDISON PARK DUBLIN 11",Dublin,"ï¿½480,000.00",No,No,Second-Hand Dwelling house /Apartment,
